BUKRS,BELNR,GJAHR,BLDAT,BUDAT,BLART,WAERK,USNAM,XBLNR,BKTXT
3000,0000000025,2021,20231231,20210930,AB,EUR,USER042,REF58944,Asset acquisition
3000,0000000026,2023,20200904,20210522,KR,COP,USER022,REF12757,Vendor payment
3000,0000000027,2021,20230420,20210327,RE,COP,USER046,REF92719,Invoice payment
1000,0000000028,2020,20200305,20241026,SA,COP,USER033,REF41195,Salary posting
3000,0000000029,2023,20210314,20230109,KR,EUR,USER037,REF85525,Asset acquisition
1000,0000000030,2023,20240711,20220413,KR,COP,USER007,REF96374,Asset acquisition
2000,0000000031,2023,20220421,20220814,RE,EUR,USER042,REF94696,Invoice payment
1000,0000000032,2023,20240131,20211125,RE,COP,USER013,REF34931,Vendor payment
2000,0000000033,2021,20220514,20210110,SA,USD,USER016,REF19880,Asset acquisition
3000,0000000034,2020,20200413,20230828,ZP,COP,USER006,REF40982,Expense report
2000,0000000035,2023,20220912,20210313,AB,COP,USER011,REF59672,Invoice payment
2000,0000000036,2022,20240524,20240526,AB,USD,USER028,REF82845,Customer receipt
3000,0000000037,2023,20201113,20210123,SA,COP,USER004,REF85914,Customer receipt
3000,0000000038,2020,20240311,20211004,RE,COP,USER038,REF72493,Vendor payment
3000,0000000039,2021,20200426,20221106,RE,COP,USER005,REF87992,Invoice payment
3000,0000000040,2021,20220406,20200902,ZP,COP,USER038,REF87924,Invoice payment
3000,0000000041,2020,20220508,20230908,ZP,EUR,USER034,REF51467,Salary posting
1000,0000000042,2022,20210503,20210627,AB,COP,USER043,REF94607,Salary posting
2000,0000000043,2022,20240319,20200528,RE,USD,USER040,REF83792,Invoice payment
1000,0000000044,2024,20210312,20221102,SA,COP,USER023,REF19016,Expense report
2000,0000000045,2022,20201119,20220616,ZP,EUR,USER020,REF90173,Customer receipt
3000,0000000046,2020,20230929,20240731,ZP,USD,USER043,REF23577,Expense report
2000,0000000047,2020,20241227,20200807,ZP,COP,USER018,REF46930,Vendor payment
1000,0000000048,2022,20210220,20231108,SA,EUR,USER032,REF42914,Invoice payment
1000,0000000049,2023,20240825,20210720,RE,COP,USER022,REF27146,Customer receipt
2000,0000000050,2021,20240227,20220623,ZP,EUR,USER028,REF83519,Invoice payment
1000,0000000051,2020,20241213,20231116,KR,EUR,USER003,REF58393,Vendor payment
3000,0000000052,2021,20220530,20200918,RE,USD,USER024,REF15229,Salary posting
1000,0000000053,2021,20230927,20200729,SA,EUR,USER027,REF91351,Customer receipt
1000,0000000054,2021,20241105,20201128,KR,USD,USER002,REF33509,Customer receipt
2000,0000000055,2023,20240630,20231003,KR,USD,USER011,REF24168,Asset acquisition
1000,0000000056,2023,20210331,20210212,AB,USD,USER020,REF39831,Expense report
1000,0000000057,2021,20220327,20211103,SA,COP,USER050,REF46585,Salary posting
3000,0000000058,2024,20220329,20231023,ZP,USD,USER002,REF25118,Salary posting
1000,0000000059,2024,20210627,20200319,RE,EUR,USER028,REF55309,Customer receipt
2000,0000000060,2023,20230526,20221113,RE,USD,USER037,REF34914,Salary posting
1000,0000000061,2023,20200104,20221130,ZP,EUR,USER047,REF97900,Expense report
2000,0000000062,2023,20200523,20230922,SA,EUR,USER021,REF96951,Invoice payment
3000,0000000063,2022,20221104,20210925,AB,USD,USER026,REF48752,Vendor payment
1000,0000000064,2021,20220511,20230923,AB,EUR,USER048,REF32810,Vendor payment
3000,0000000065,2022,20220411,20230127,RE,USD,USER019,REF37549,Asset acquisition
3000,0000000066,2024,20230902,20211021,AB,USD,USER029,REF98555,Expense report
3000,0000000067,2023,20240613,20240618,KR,EUR,USER006,REF47196,Vendor payment
3000,0000000068,2024,20211117,20200710,KR,EUR,USER020,REF39444,Expense report
1000,0000000069,2020,20200404,20210516,AB,EUR,USER050,REF19545,Asset acquisition
2000,0000000070,2024,20210202,20240111,AB,USD,USER026,REF41979,Expense report
3000,0000000071,2020,20240317,20241028,RE,USD,USER015,REF33053,Customer receipt
3000,0000000072,2023,20200412,20230215,KR,COP,USER030,REF27477,Asset acquisition
3000,0000000073,2024,20230218,20230504,SA,USD,USER040,REF76162,Asset acquisition
3000,0000000074,2023,20201121,20240303,AB,USD,USER017,REF42406,Customer receipt
2000,0000000075,2024,20220919,20230707,KR,USD,USER029,REF20155,Customer receipt
2000,0000000076,2021,20210710,20211118,SA,EUR,USER006,REF28136,Expense report
1000,0000000077,2023,20231122,20201108,KR,COP,USER027,REF63424,Salary posting
3000,0000000078,2023,20220501,20200507,KR,USD,USER025,REF86556,Customer receipt
1000,0000000079,2024,20220218,20220903,RE,USD,USER020,REF61116,Asset acquisition
3000,0000000080,2024,20240626,20230520,KR,USD,USER015,REF45774,Asset acquisition
2000,0000000081,2020,20220307,20211119,AB,EUR,USER011,REF71261,Expense report
3000,0000000082,2024,20200225,20220317,ZP,EUR,USER043,REF13552,Invoice payment
3000,0000000083,2023,20201004,20241110,AB,COP,USER004,REF44099,Asset acquisition
2000,0000000084,2021,20220720,20211031,SA,USD,USER018,REF65255,Salary posting
1000,0000000085,2023,20200209,20240314,ZP,COP,USER023,REF39389,Customer receipt
1000,0000000086,2020,20240324,20200304,KR,COP,USER002,REF91439,Expense report
1000,0000000087,2021,20220827,20231003,RE,EUR,USER014,REF70952,Customer receipt
2000,0000000088,2022,20201209,20230525,ZP,EUR,USER046,REF25012,Expense report
2000,0000000089,2020,20230331,20200222,SA,EUR,USER044,REF59192,Asset acquisition
3000,0000000090,2021,20200604,20230427,KR,COP,USER045,REF49529,Customer receipt
3000,0000000091,2020,20240618,20230305,RE,USD,USER035,REF66148,Customer receipt
2000,0000000092,2020,20221102,20230819,SA,COP,USER027,REF74251,Invoice payment
2000,0000000093,2022,20230725,20241230,AB,EUR,USER010,REF67080,Expense report
3000,0000000094,2024,20230825,20210707,ZP,EUR,USER050,REF73372,Asset acquisition
2000,0000000095,2024,20210703,20211022,KR,COP,USER018,REF69087,Expense report
2000,0000000096,2024,20230603,20230930,AB,USD,USER002,REF74789,Salary posting
1000,0000000097,2023,20210310,20211227,SA,USD,USER018,REF88139,Customer receipt
2000,0000000098,2024,20200121,20221124,KR,COP,USER016,REF63271,Asset acquisition
3000,0000000099,2021,20231115,20220902,AB,USD,USER002,REF22196,Salary posting
1000,0000000100,2023,20231117,20210513,SA,EUR,USER038,REF58368,Asset acquisition
3000,0000000101,2024,20211205,20220521,ZP,USD,USER023,REF69473,Salary posting
2000,0000000102,2022,20210417,20200904,KR,USD,USER008,REF80236,Customer receipt
1000,0000000103,2021,20210319,20240221,AB,USD,USER047,REF87278,Vendor payment
3000,0000000104,2022,20200724,20240901,KR,USD,USER015,REF57301,Expense report
2000,0000000105,2020,20231221,20221229,KR,USD,USER003,REF17146,Vendor payment
2000,0000000106,2021,20230730,20241113,AB,COP,USER001,REF85243,Salary posting
2000,0000000107,2023,20220621,20211128,KR,COP,USER017,REF72616,Invoice payment
1000,0000000108,2023,20221004,20200531,ZP,EUR,USER044,REF17026,Expense report
1000,0000000109,2024,20210914,20200623,KR,COP,USER036,REF64548,Vendor payment
3000,0000000110,2024,20210407,20240507,ZP,USD,USER029,REF68028,Salary posting
3000,0000000111,2023,20210917,20230310,ZP,COP,USER040,REF23006,Expense report
3000,0000000112,2021,20210625,20230914,RE,COP,USER016,REF32782,Vendor payment
1000,0000000113,2021,20200106,20220416,AB,EUR,USER039,REF71592,Salary posting
1000,0000000114,2021,20210813,20231218,SA,EUR,USER030,REF19329,Customer receipt
1000,0000000115,2022,20240601,20240608,ZP,EUR,USER013,REF65723,Invoice payment
3000,0000000116,2021,20230819,20201101,SA,COP,USER005,REF17816,Expense report
2000,0000000117,2024,20240313,20240815,ZP,USD,USER029,REF26299,Asset acquisition
3000,0000000118,2022,20231204,20220404,SA,EUR,USER035,REF74722,Asset acquisition
1000,0000000119,2024,20200322,20241226,AB,EUR,USER021,REF89129,Salary posting
1000,0000000120,2020,20210413,20231012,ZP,EUR,USER002,REF98117,Salary posting
3000,0000000121,2020,20240411,20240328,KR,USD,USER034,REF95394,Asset acquisition
2000,0000000122,2021,20230413,20220611,AB,COP,USER031,REF55607,Asset acquisition
2000,0000000123,2022,20231004,20200802,KR,USD,USER027,REF74942,Salary posting
3000,0000000124,2023,20240724,20240406,ZP,COP,USER030,REF21542,Salary posting
2000,0000000125,2022,20200825,20240501,AB,EUR,USER001,REF96200,Vendor payment
2000,0000000126,2023,20200421,20210119,ZP,USD,USER040,REF75338,Customer receipt
2000,0000000127,2020,20210220,20210630,ZP,COP,USER019,REF67424,Customer receipt
2000,0000000128,2020,20200229,20230714,ZP,COP,USER046,REF30758,Salary posting
3000,0000000129,2020,20230205,20220415,RE,COP,USER008,REF70482,Invoice payment
3000,0000000130,2021,20221017,20240107,SA,EUR,USER046,REF45838,Asset acquisition
2000,0000000131,2023,20210514,20220724,ZP,COP,USER025,REF34983,Vendor payment
3000,0000000132,2021,20241104,20200522,SA,USD,USER022,REF76550,Salary posting
1000,0000000133,2022,20240126,20210903,ZP,EUR,USER043,REF74178,Expense report
2000,0000000134,2024,20220918,20211207,SA,EUR,USER049,REF81228,Asset acquisition
2000,0000000135,2022,20241115,20210121,KR,EUR,USER025,REF40613,Asset acquisition
1000,0000000136,2022,20240305,20220826,AB,USD,USER043,REF95461,Expense report
2000,0000000137,2020,20200915,20221025,ZP,USD,USER007,REF67711,Invoice payment
3000,0000000138,2023,20200201,20240119,KR,USD,USER042,REF30232,Invoice payment
2000,0000000139,2022,20211124,20230630,AB,EUR,USER006,REF53065,Customer receipt
3000,0000000140,2023,20211010,20230707,AB,EUR,USER003,REF90931,Invoice payment
1000,0000000141,2022,20210410,20240309,RE,USD,USER007,REF93066,Customer receipt
1000,0000000142,2023,20201206,20231122,SA,COP,USER003,REF52516,Invoice payment
2000,0000000143,2022,20220206,20220601,KR,COP,USER034,REF64008,Vendor payment
3000,0000000144,2021,20201214,20201224,RE,EUR,USER025,REF91226,Customer receipt
1000,0000000145,2023,20230409,20201020,KR,USD,USER041,REF43289,Asset acquisition
2000,0000000146,2020,20240705,20220810,SA,EUR,USER035,REF30706,Invoice payment
2000,0000000147,2022,20230418,20210904,AB,EUR,USER017,REF69878,Salary posting
1000,0000000148,2023,20241013,20220916,RE,COP,USER025,REF84963,Salary posting
3000,0000000149,2022,20231203,20210827,RE,EUR,USER026,REF45976,Invoice payment
3000,0000000150,2020,20230526,20240306,AB,USD,USER050,REF40162,Vendor payment
2000,0000000151,2021,20230727,20210124,ZP,USD,USER044,REF96400,Customer receipt
1000,0000000152,2020,20230709,20230816,RE,USD,USER029,REF14373,Vendor payment
2000,0000000153,2021,20200703,20210827,SA,EUR,USER027,REF33021,Expense report
1000,0000000154,2024,20241129,20220119,ZP,EUR,USER018,REF31567,Salary posting
2000,0000000155,2022,20240308,20241117,SA,COP,USER030,REF19869,Expense report
1000,0000000156,2023,20240928,20240705,ZP,USD,USER006,REF61717,Invoice payment
2000,0000000157,2024,20200910,20220720,SA,EUR,USER048,REF98125,Salary posting
3000,0000000158,2023,20240811,20230731,SA,COP,USER044,REF40647,Asset acquisition
1000,0000000159,2024,20241215,20230223,SA,EUR,USER015,REF94889,Invoice payment
3000,0000000160,2023,20231206,20210910,AB,COP,USER009,REF15943,Invoice payment
2000,0000000161,2023,20200825,20200718,KR,EUR,USER009,REF60940,Asset acquisition
2000,0000000162,2024,20220508,20230417,KR,USD,USER042,REF22978,Asset acquisition
3000,0000000163,2023,20210726,20200308,SA,COP,USER029,REF68287,Expense report
2000,0000000164,2020,20231105,20220122,ZP,EUR,USER023,REF17936,Asset acquisition
2000,0000000165,2021,20200907,20241002,AB,COP,USER043,REF37801,Customer receipt
3000,0000000166,2024,20200213,20200413,SA,COP,USER009,REF84000,Expense report
1000,0000000167,2024,20210228,20230415,KR,COP,USER022,REF29340,Vendor payment
1000,0000000168,2022,20241024,20201023,KR,EUR,USER017,REF32871,Invoice payment
3000,0000000169,2020,20200926,20200131,SA,COP,USER038,REF52437,Invoice payment
1000,0000000170,2022,20200417,20200916,AB,EUR,USER008,REF18330,Asset acquisition
2000,0000000171,2022,20221117,20230430,RE,USD,USER033,REF39038,Vendor payment
1000,0000000172,2024,20210909,20220727,RE,COP,USER031,REF62640,Asset acquisition
3000,0000000173,2020,20221001,20231229,AB,COP,USER006,REF52219,Vendor payment
1000,0000000174,2020,20200915,20210717,ZP,EUR,USER038,REF81874,Customer receipt
2000,0000000175,2023,20230508,20221222,SA,USD,USER033,REF89354,Asset acquisition
1000,0000000176,2020,20241012,20230902,ZP,EUR,USER014,REF66370,Asset acquisition
1000,0000000177,2023,20211125,20240821,AB,USD,USER027,REF22463,Salary posting
2000,0000000178,2022,20230924,20210606,SA,COP,USER044,REF72163,Invoice payment
1000,0000000179,2020,20200709,20220603,RE,EUR,USER048,REF58843,Expense report
3000,0000000180,2020,20230416,20230224,ZP,USD,USER043,REF26021,Asset acquisition
2000,0000000181,2023,20241112,20240116,RE,USD,USER039,REF50953,Salary posting
1000,0000000182,2024,20221105,20210311,KR,EUR,USER031,REF39392,Invoice payment
2000,0000000183,2024,20220122,20200823,SA,EUR,USER015,REF66244,Vendor payment
3000,0000000184,2024,20231014,20230809,ZP,COP,USER039,REF96223,Customer receipt
2000,0000000185,2020,20210104,20210713,SA,USD,USER023,REF10800,Expense report
1000,0000000186,2024,20230908,20220331,RE,COP,USER048,REF92991,Invoice payment
1000,0000000187,2024,20210316,20220209,AB,USD,USER022,REF30631,Salary posting
2000,0000000188,2022,20240509,20230308,ZP,COP,USER004,REF30392,Expense report
3000,0000000189,2020,20231012,20200616,SA,USD,USER043,REF65576,Asset acquisition
3000,0000000190,2023,20220428,20210713,KR,EUR,USER008,REF55242,Asset acquisition
1000,0000000191,2022,20231020,20231021,ZP,USD,USER034,REF97442,Salary posting
1000,0000000192,2021,20220320,20230512,RE,COP,USER014,REF49507,Expense report
1000,0000000193,2022,20210815,20211102,RE,COP,USER032,REF66446,Expense report
1000,0000000194,2023,20221226,20231212,KR,EUR,USER036,REF97562,Salary posting
1000,0000000195,2023,20241030,20240228,RE,USD,USER002,REF70260,Invoice payment
2000,0000000196,2024,20220529,20230320,AB,EUR,USER041,REF64747,Salary posting
1000,0000000197,2023,20200212,20211027,KR,EUR,USER030,REF57428,Invoice payment
2000,0000000198,2020,20210513,20220611,ZP,USD,USER034,REF20308,Asset acquisition
2000,0000000199,2022,20210329,20211113,KR,COP,USER033,REF92998,Invoice payment
3000,0000000200,2024,20210201,20240508,SA,USD,USER047,REF94599,Expense report
1000,0000000201,2020,20201026,20210608,KR,COP,USER039,REF30036,Customer receipt
1000,0000000202,2021,20240501,20230710,AB,USD,USER049,REF83889,Vendor payment
2000,0000000203,2024,20230809,20230725,ZP,USD,USER041,REF51436,Expense report
2000,0000000204,2020,20220818,20220624,SA,USD,USER038,REF17362,Salary posting
3000,0000000205,2020,20210927,20220803,AB,COP,USER004,REF58331,Salary posting
1000,0000000206,2020,20230613,20230501,ZP,USD,USER030,REF86064,Vendor payment
3000,0000000207,2020,20220710,20240716,ZP,EUR,USER013,REF52143,Vendor payment
2000,0000000208,2024,20201104,20200506,AB,COP,USER022,REF21053,Vendor payment
3000,0000000209,2021,20200321,20210522,AB,USD,USER034,REF78517,Vendor payment
1000,0000000210,2022,20220202,20210802,AB,USD,USER050,REF54350,Customer receipt
3000,0000000211,2020,20240604,20230716,SA,COP,USER022,REF22387,Vendor payment
3000,0000000212,2023,20210804,20210531,ZP,COP,USER022,REF20682,Vendor payment
3000,0000000213,2021,20211217,20210927,AB,COP,USER039,REF21104,Salary posting
3000,0000000214,2023,20230810,20240609,SA,COP,USER043,REF99838,Vendor payment
1000,0000000215,2023,20221107,20220111,RE,USD,USER020,REF33627,Expense report
2000,0000000216,2023,20210128,20210408,KR,COP,USER005,REF48770,Invoice payment
3000,0000000217,2024,20240906,20240221,ZP,COP,USER043,REF54140,Vendor payment
1000,0000000218,2024,20220210,20201111,KR,COP,USER045,REF91885,Expense report
3000,0000000219,2023,20200330,20220421,SA,EUR,USER047,REF41133,Asset acquisition
3000,0000000220,2022,20240320,20240313,AB,COP,USER035,REF41348,Salary posting
2000,0000000221,2021,20220123,20231021,ZP,USD,USER030,REF46932,Asset acquisition
3000,0000000222,2024,20220507,20201127,KR,EUR,USER009,REF42768,Invoice payment
3000,0000000223,2023,20241125,20220130,ZP,COP,USER046,REF77621,Invoice payment
2000,0000000224,2020,20240411,20201124,SA,USD,USER033,REF29313,Asset acquisition
1000,0000000225,2021,20240730,20220712,SA,COP,USER027,REF16980,Asset acquisition
3000,0000000226,2022,20210427,20220301,RE,USD,USER015,REF13694,Salary posting
1000,0000000227,2022,20240608,20201026,KR,COP,USER019,REF71925,Customer receipt
1000,0000000228,2023,20220707,20230614,RE,COP,USER002,REF43544,Expense report
1000,0000000229,2024,20240129,20230531,ZP,USD,USER008,REF47762,Expense report
2000,0000000230,2020,20200407,20210503,AB,EUR,USER040,REF69914,Invoice payment
1000,0000000231,2023,20230507,20230102,RE,EUR,USER033,REF85372,Expense report
3000,0000000232,2021,20210819,20220529,RE,EUR,USER023,REF41531,Vendor payment
2000,0000000233,2021,20230922,20230930,RE,EUR,USER024,REF18870,Vendor payment
3000,0000000234,2024,20240529,20221105,ZP,COP,USER025,REF71621,Invoice payment
3000,0000000235,2023,20220203,20210603,RE,USD,USER005,REF55193,Expense report
3000,0000000236,2020,20240429,20230406,SA,COP,USER003,REF56176,Vendor payment
2000,0000000237,2021,20240827,20240514,AB,EUR,USER031,REF92802,Expense report
1000,0000000238,2020,20240106,20240508,AB,COP,USER019,REF36422,Invoice payment
1000,0000000239,2020,20211008,20210927,ZP,USD,USER035,REF72049,Salary posting
1000,0000000240,2021,20210808,20220101,RE,EUR,USER022,REF45811,Invoice payment
2000,0000000241,2023,20241226,20220330,AB,USD,USER022,REF34486,Asset acquisition
3000,0000000242,2023,20220122,20240620,ZP,USD,USER006,REF65640,Invoice payment
2000,0000000243,2024,20240811,20210104,ZP,USD,USER021,REF23447,Invoice payment
2000,0000000244,2022,20210919,20220702,ZP,EUR,USER028,REF31842,Customer receipt
2000,0000000245,2022,20220704,20200327,SA,EUR,USER028,REF45986,Customer receipt
1000,0000000246,2020,20231006,20230729,AB,USD,USER033,REF99051,Expense report
1000,0000000247,2021,20241004,20230529,AB,COP,USER009,REF18812,Expense report
3000,0000000248,2022,20220111,20220223,ZP,COP,USER039,REF30111,Customer receipt
2000,0000000249,2022,20220131,20220628,RE,EUR,USER009,REF79397,Salary posting
2000,0000000250,2022,20230823,20210724,KR,COP,USER002,REF34385,Asset acquisition
3000,0000000251,2023,20230224,20200829,SA,USD,USER046,REF68493,Expense report
3000,0000000252,2022,20231122,20221002,KR,COP,USER009,REF19706,Asset acquisition
1000,0000000253,2023,20200628,20240717,SA,EUR,USER023,REF18511,Vendor payment
3000,0000000254,2022,20241230,20210906,KR,EUR,USER046,REF93584,Expense report
2000,0000000255,2024,20210404,20200905,KR,COP,USER016,REF74752,Invoice payment
2000,0000000256,2024,20230318,20220125,AB,EUR,USER009,REF90209,Invoice payment
1000,0000000257,2022,20220326,20240108,AB,EUR,USER027,REF63665,Vendor payment
1000,0000000258,2021,20211011,20230808,RE,USD,USER030,REF99143,Vendor payment
2000,0000000259,2021,20241203,20240824,ZP,EUR,USER038,REF33850,Expense report
2000,0000000260,2024,20241113,20200423,RE,EUR,USER010,REF49862,Expense report
1000,0000000261,2022,20231223,20210406,SA,EUR,USER019,REF20336,Salary posting
1000,0000000262,2024,20210716,20200913,SA,EUR,USER035,REF22245,Vendor payment
3000,0000000263,2021,20230427,20230404,KR,COP,USER043,REF91851,Customer receipt
3000,0000000264,2022,20240921,20230228,RE,COP,USER006,REF15958,Customer receipt
3000,0000000265,2022,20230826,20210307,ZP,USD,USER040,REF93753,Invoice payment
2000,0000000266,2024,20210816,20230807,SA,USD,USER016,REF99783,Asset acquisition
2000,0000000267,2023,20200529,20231111,RE,COP,USER029,REF64476,Asset acquisition
2000,0000000268,2021,20211127,20230527,KR,USD,USER046,REF51853,Customer receipt
2000,0000000269,2023,20200924,20240406,SA,EUR,USER036,REF23917,Salary posting
1000,0000000270,2023,20200907,20210701,AB,COP,USER010,REF22689,Invoice payment
2000,0000000271,2023,20241104,20230614,AB,COP,USER011,REF52917,Vendor payment
3000,0000000272,2022,20210123,20240411,KR,USD,USER033,REF71186,Asset acquisition
2000,0000000273,2023,20200217,20200703,AB,EUR,USER030,REF41552,Expense report
3000,0000000274,2022,20200409,20200413,SA,USD,USER039,REF95755,Customer receipt
2000,0000000275,2022,20230104,20200117,RE,USD,USER009,REF44664,Customer receipt
2000,0000000276,2023,20220119,20200402,AB,COP,USER037,REF83638,Expense report
2000,0000000277,2024,20210814,20200530,AB,EUR,USER029,REF82070,Salary posting
3000,0000000278,2024,20200831,20200920,RE,USD,USER024,REF54444,Vendor payment
2000,0000000279,2021,20210211,20230518,ZP,USD,USER033,REF15276,Invoice payment
1000,0000000280,2021,20240101,20211113,AB,EUR,USER030,REF29521,Vendor payment
3000,0000000281,2021,20211102,20230609,SA,COP,USER026,REF90805,Customer receipt
2000,0000000282,2024,20211119,20221104,ZP,EUR,USER032,REF83783,Salary posting
2000,0000000283,2020,20220124,20211109,RE,USD,USER038,REF50327,Customer receipt
3000,0000000284,2020,20230507,20220829,SA,EUR,USER050,REF85821,Vendor payment
1000,0000000285,2020,20230410,20220910,KR,EUR,USER041,REF91230,Asset acquisition
1000,0000000286,2021,20200305,20230318,RE,COP,USER002,REF67807,Salary posting
2000,0000000287,2021,20220425,20231115,KR,USD,USER033,REF90147,Asset acquisition
3000,0000000288,2020,20231216,20201009,ZP,COP,USER036,REF52604,Customer receipt
2000,0000000289,2024,20220210,20211004,KR,USD,USER035,REF54869,Vendor payment
2000,0000000290,2022,20230603,20220918,KR,COP,USER018,REF83149,Salary posting
1000,0000000291,2022,20240428,20210814,KR,EUR,USER046,REF74094,Salary posting
2000,0000000292,2022,20230221,20240616,SA,USD,USER008,REF85166,Customer receipt
3000,0000000293,2023,20220319,20240803,SA,COP,USER019,REF15513,Salary posting
3000,0000000294,2020,20211210,20220624,SA,EUR,USER031,REF38047,Expense report
3000,0000000295,2022,20230225,20231126,SA,COP,USER007,REF90698,Customer receipt
3000,0000000296,2021,20210511,20200413,ZP,COP,USER041,REF40518,Invoice payment
1000,0000000297,2023,20211107,20240109,AB,COP,USER044,REF28018,Invoice payment
3000,0000000298,2021,20220413,20230830,AB,USD,USER042,REF36143,Salary posting
2000,0000000299,2022,20230815,20200501,RE,EUR,USER037,REF40437,Vendor payment
3000,0000000300,2020,20201224,20220505,KR,COP,USER026,REF74930,Expense report
3000,0000000301,2022,20241130,20200317,RE,USD,USER037,REF89007,Invoice payment
2000,0000000302,2022,20220719,20230806,ZP,EUR,USER032,REF27589,Vendor payment
2000,0000000303,2022,20210129,20240714,RE,USD,USER011,REF70150,Customer receipt
2000,0000000304,2021,20200129,20240217,SA,USD,USER037,REF98395,Expense report
1000,0000000305,2024,20241019,20230801,AB,USD,USER033,REF52982,Invoice payment
2000,0000000306,2020,20210113,20201014,AB,USD,USER016,REF10895,Salary posting
2000,0000000307,2021,20220703,20240323,SA,USD,USER020,REF86344,Customer receipt
3000,0000000308,2020,20210619,20230831,SA,EUR,USER016,REF18142,Customer receipt
1000,0000000309,2023,20210920,20201123,AB,EUR,USER033,REF50760,Customer receipt
1000,0000000310,2022,20220122,20230612,KR,COP,USER009,REF72676,Expense report
2000,0000000311,2024,20220204,20220501,ZP,USD,USER049,REF80453,Customer receipt
1000,0000000312,2021,20231025,20240325,ZP,COP,USER034,REF68556,Vendor payment
3000,0000000313,2022,20200608,20230301,RE,COP,USER036,REF76255,Expense report
3000,0000000314,2024,20201102,20201202,SA,EUR,USER029,REF25235,Customer receipt
1000,0000000315,2024,20220928,20200705,ZP,USD,USER004,REF69432,Expense report
3000,0000000316,2023,20220724,20230228,RE,EUR,USER030,REF98181,Salary posting
3000,0000000317,2020,20220321,20210605,RE,EUR,USER014,REF85800,Invoice payment
1000,0000000318,2023,20211206,20231205,RE,EUR,USER004,REF19046,Asset acquisition
1000,0000000319,2022,20220417,20210103,KR,EUR,USER047,REF94656,Asset acquisition
2000,0000000320,2023,20220707,20241115,AB,USD,USER006,REF99486,Customer receipt
3000,0000000321,2021,20230831,20241027,SA,COP,USER012,REF80419,Asset acquisition
3000,0000000322,2021,20240130,20210401,RE,COP,USER020,REF70686,Customer receipt
3000,0000000323,2024,20220518,20221225,AB,COP,USER016,REF70375,Salary posting
1000,0000000324,2022,20210121,20241127,RE,COP,USER043,REF64950,Vendor payment
1000,0000000325,2021,20210226,20200517,RE,EUR,USER003,REF68515,Vendor payment
3000,0000000326,2020,20210516,20240225,RE,USD,USER029,REF40715,Vendor payment
1000,0000000327,2020,20201013,20221028,SA,COP,USER047,REF85511,Salary posting
3000,0000000328,2024,20240501,20231009,SA,COP,USER020,REF28777,Customer receipt
3000,0000000329,2021,20220426,20210907,SA,COP,USER036,REF87550,Customer receipt
1000,0000000330,2023,20230212,20221012,RE,USD,USER042,REF97994,Asset acquisition
3000,0000000331,2022,20231127,20220502,AB,COP,USER020,REF59343,Expense report
3000,0000000332,2023,20210508,20241005,KR,USD,USER046,REF28920,Asset acquisition
1000,0000000333,2024,20220425,20220503,ZP,EUR,USER009,REF60910,Expense report
2000,0000000334,2021,20211107,20230817,RE,USD,USER024,REF22119,Vendor payment
3000,0000000335,2021,20200415,20210703,AB,EUR,USER039,REF89026,Invoice payment
1000,0000000336,2021,20240705,20240408,ZP,EUR,USER043,REF83249,Expense report
2000,0000000337,2021,20241115,20211112,SA,COP,USER014,REF34906,Customer receipt
