BUKRS,BELNR,GJAHR,BUZEI,KOART,KONTO,DMBTR,WRBTR,WAERS,SGTXT
1000,0000000021,2022,004,D,615882,22001.99,21833.55,EUR,Revenue rec
2000,0000000022,2020,001,K,833880,191992.69,201070.85,COP,Cost allocation
2000,0000000022,2020,002,D,622431,181849.88,178621.17,COP,Clearing entry
2000,0000000022,2020,003,S,827107,89206.56,89296.2,COP,Line item desc
1000,0000000023,2020,001,K,758472,115776.99,122784.85,EUR,Tax posting
1000,0000000023,2020,002,S,224891,169012.2,182075.07,EUR,Tax posting
1000,0000000023,2020,003,A,137552,53502.26,58484.58,EUR,Clearing entry
1000,0000000023,2020,004,M,813797,41036.74,42230.81,EUR,Tax posting
3000,0000000024,2023,001,D,944660,102482.45,92452.08,EUR,Revenue rec
3000,0000000024,2023,002,S,584903,103533.05,97591.63,EUR,Revenue rec
3000,0000000024,2023,003,K,405192,132003.83,141973.84,EUR,Clearing entry
3000,0000000025,2021,001,M,160561,95867.81,98060.1,EUR,Cost allocation
3000,0000000025,2021,002,A,680996,23580.93,25321.84,EUR,Clearing entry
3000,0000000026,2023,001,A,942623,158382.54,173778.21,COP,Cost allocation
3000,0000000026,2023,002,K,548814,147884.46,147661.09,COP,Clearing entry
3000,0000000027,2021,001,M,968881,149235.22,142280.26,COP,Revenue rec
3000,0000000027,2021,002,K,677582,198769.75,201233.23,COP,Clearing entry
3000,0000000027,2021,003,M,326085,180204.96,163047.83,COP,Cost allocation
1000,0000000028,2020,001,S,556879,92260.47,83128.14,COP,Revenue rec
3000,0000000029,2023,001,M,919187,84693.94,77140.68,EUR,Revenue rec
3000,0000000029,2023,002,K,236659,31832.78,32514.33,EUR,Clearing entry
1000,0000000030,2023,001,D,122366,76250.43,83256.24,COP,Cost allocation
1000,0000000030,2023,002,S,990960,182055.39,198962.03,COP,Revenue rec
1000,0000000030,2023,003,K,356717,52984.2,47996.81,COP,Clearing entry
1000,0000000030,2023,004,K,942264,128551.28,124777.52,COP,Line item desc
2000,0000000031,2023,001,D,271287,136539.34,123588.75,EUR,Cost allocation
2000,0000000031,2023,002,M,474637,173283.04,163405.97,EUR,Clearing entry
1000,0000000032,2023,001,S,234241,925.61,870.16,COP,Clearing entry
1000,0000000032,2023,002,K,894887,28049.3,30835.78,COP,Tax posting
1000,0000000032,2023,003,D,946984,186659.4,201911.92,COP,Revenue rec
2000,0000000033,2021,001,K,694139,156363.34,148154.7,USD,Line item desc
3000,0000000034,2020,001,S,843248,59499.48,58884.11,COP,Clearing entry
3000,0000000034,2020,002,A,729148,71815.17,71054.95,COP,Cost allocation
3000,0000000034,2020,003,M,884826,117403.21,109193.46,COP,Revenue rec
2000,0000000035,2023,001,K,492951,47378.6,50771.11,COP,Clearing entry
2000,0000000035,2023,002,D,811449,31404.97,29444.01,COP,Clearing entry
2000,0000000035,2023,003,A,387821,174074.44,186327.6,COP,Clearing entry
2000,0000000036,2022,001,K,628947,173621.28,168179.82,USD,Revenue rec
2000,0000000036,2022,002,A,818862,73057.68,71871.26,USD,Clearing entry
2000,0000000036,2022,003,K,452891,156699.32,169400.23,USD,Clearing entry
3000,0000000037,2023,001,M,229953,48773.49,49506.92,COP,Clearing entry
3000,0000000038,2020,001,S,877772,169000.96,169062.07,COP,Tax posting
3000,0000000038,2020,002,S,115616,20707.65,22051.81,COP,Revenue rec
3000,0000000038,2020,003,S,713630,102524.13,107434.03,COP,Revenue rec
3000,0000000039,2021,001,D,786195,102108.68,97111.64,COP,Tax posting
3000,0000000040,2021,001,S,128062,8262.16,8169.0,COP,Tax posting
3000,0000000040,2021,002,S,463509,119152.16,125916.53,COP,Clearing entry
3000,0000000040,2021,003,D,486156,139568.93,149644.21,COP,Clearing entry
3000,0000000041,2020,001,M,893386,171767.64,179043.91,EUR,Cost allocation
1000,0000000042,2022,001,S,414599,87755.93,86826.21,COP,Tax posting
1000,0000000042,2022,002,A,384698,125535.7,122324.59,COP,Cost allocation
1000,0000000042,2022,003,K,232320,74018.96,69826.9,COP,Tax posting
1000,0000000042,2022,004,S,872444,29719.53,30235.43,COP,Cost allocation
2000,0000000043,2022,001,M,140409,119247.22,107728.58,USD,Line item desc
2000,0000000043,2022,002,S,481878,142153.43,144992.1,USD,Revenue rec
2000,0000000043,2022,003,S,696839,109506.46,113623.66,USD,Tax posting
2000,0000000043,2022,004,S,854584,92395.93,98779.6,USD,Line item desc
1000,0000000044,2024,001,D,810666,85302.99,86388.72,COP,Tax posting
1000,0000000044,2024,002,A,223116,131815.26,122694.65,COP,Revenue rec
1000,0000000044,2024,003,S,131323,117245.37,127331.5,COP,Tax posting
1000,0000000044,2024,004,S,754379,86213.61,90252.5,COP,Line item desc
2000,0000000045,2022,001,D,913493,60260.11,66114.14,EUR,Tax posting
2000,0000000045,2022,002,A,516600,29547.68,28722.99,EUR,Line item desc
2000,0000000045,2022,003,S,218673,188385.66,195673.58,EUR,Cost allocation
2000,0000000045,2022,004,A,767910,55297.19,58826.52,EUR,Line item desc
3000,0000000046,2020,001,S,452730,56619.39,57249.95,USD,Revenue rec
3000,0000000046,2020,002,M,452543,70670.78,76151.02,USD,Revenue rec
3000,0000000046,2020,003,D,229002,184730.24,181920.96,USD,Clearing entry
2000,0000000047,2020,001,A,833327,40747.29,44581.93,COP,Tax posting
2000,0000000047,2020,002,K,687717,82981.51,88298.5,COP,Clearing entry
1000,0000000048,2022,001,S,942565,151737.59,159136.86,EUR,Line item desc
1000,0000000048,2022,002,A,896007,6042.36,6305.25,EUR,Revenue rec
1000,0000000048,2022,003,A,193107,40224.56,39183.2,EUR,Revenue rec
1000,0000000049,2023,001,D,198031,111853.13,114666.17,COP,Clearing entry
1000,0000000049,2023,002,D,333903,91385.49,89392.72,COP,Tax posting
1000,0000000049,2023,003,M,814761,177439.03,193959.55,COP,Line item desc
1000,0000000049,2023,004,A,137797,133662.52,134291.06,COP,Clearing entry
2000,0000000050,2021,001,K,192269,129263.65,117201.07,EUR,Revenue rec
2000,0000000050,2021,002,M,306468,158021.55,161094.03,EUR,Line item desc
2000,0000000050,2021,003,D,281625,21649.97,19674.24,EUR,Tax posting
1000,0000000051,2020,001,M,842562,9745.09,9140.62,EUR,Cost allocation
1000,0000000051,2020,002,M,554483,141537.59,134262.38,EUR,Clearing entry
1000,0000000051,2020,003,K,798025,8560.85,8850.4,EUR,Cost allocation
3000,0000000052,2021,001,K,686780,103776.06,104446.37,USD,Cost allocation
3000,0000000052,2021,002,S,571643,105666.26,106083.29,USD,Tax posting
3000,0000000052,2021,003,A,523814,154596.32,146819.07,USD,Revenue rec
3000,0000000052,2021,004,D,875053,176141.58,158805.8,USD,Cost allocation
1000,0000000053,2021,001,K,294609,102525.1,98299.96,EUR,Tax posting
1000,0000000053,2021,002,A,391602,87021.21,80910.57,EUR,Tax posting
1000,0000000053,2021,003,K,370173,61425.47,60972.15,EUR,Clearing entry
1000,0000000054,2021,001,D,898622,153310.85,153154.62,USD,Tax posting
1000,0000000054,2021,002,A,722731,81322.69,85956.39,USD,Revenue rec
2000,0000000055,2023,001,M,597414,136635.72,135095.2,USD,Revenue rec
1000,0000000056,2023,001,D,426212,121896.32,119170.0,USD,Tax posting
1000,0000000056,2023,002,S,369739,132767.09,129687.48,USD,Clearing entry
1000,0000000056,2023,003,M,746556,43484.47,45251.14,USD,Cost allocation
1000,0000000057,2021,001,S,947339,162084.21,160047.21,COP,Revenue rec
3000,0000000058,2024,001,S,110734,39237.04,42702.05,USD,Tax posting
3000,0000000058,2024,002,M,895873,158458.14,142964.39,USD,Clearing entry
1000,0000000059,2024,001,M,507477,53690.38,52514.27,EUR,Clearing entry
1000,0000000059,2024,002,K,793410,12822.09,14069.3,EUR,Cost allocation
1000,0000000059,2024,003,M,919464,167964.45,177728.92,EUR,Cost allocation
1000,0000000059,2024,004,D,379224,133014.56,129920.87,EUR,Tax posting
2000,0000000060,2023,001,K,337561,37188.48,36948.32,USD,Cost allocation
2000,0000000060,2023,002,M,911113,97219.78,92744.59,USD,Tax posting
1000,0000000061,2023,001,A,615836,40790.34,44216.06,EUR,Clearing entry
2000,0000000062,2023,001,D,153957,99179.69,107674.28,EUR,Revenue rec
2000,0000000062,2023,002,A,819832,65605.21,69542.61,EUR,Revenue rec
2000,0000000062,2023,003,A,794778,135172.11,132452.3,EUR,Revenue rec
3000,0000000063,2022,001,M,809887,100508.02,90500.01,USD,Revenue rec
3000,0000000063,2022,002,D,514815,67497.96,69350.12,USD,Tax posting
3000,0000000063,2022,003,S,770194,130349.12,123973.7,USD,Clearing entry
3000,0000000063,2022,004,A,335081,52830.33,49297.13,USD,Line item desc
1000,0000000064,2021,001,S,555494,82246.82,79863.83,EUR,Revenue rec
1000,0000000064,2021,002,D,144366,159937.24,145909.2,EUR,Cost allocation
1000,0000000064,2021,003,M,552244,17601.64,17401.25,EUR,Tax posting
3000,0000000065,2022,001,D,153172,173098.5,164428.35,USD,Line item desc
3000,0000000066,2024,001,M,464486,114351.25,118254.51,USD,Line item desc
3000,0000000067,2023,001,K,346868,81799.14,77280.52,EUR,Clearing entry
3000,0000000067,2023,002,M,191845,63934.93,65544.91,EUR,Cost allocation
3000,0000000067,2023,003,D,844040,182492.6,184779.4,EUR,Tax posting
3000,0000000068,2024,001,D,295210,82180.78,88002.6,EUR,Clearing entry
3000,0000000068,2024,002,K,917276,138383.25,132270.84,EUR,Cost allocation
3000,0000000068,2024,003,K,101639,40930.82,40130.31,EUR,Clearing entry
3000,0000000068,2024,004,K,872463,123139.76,131106.26,EUR,Line item desc
1000,0000000069,2020,001,D,732436,72757.9,66668.38,EUR,Revenue rec
2000,0000000070,2024,001,S,708571,91852.66,97949.53,USD,Tax posting
2000,0000000070,2024,002,M,121946,72401.81,69994.48,USD,Cost allocation
2000,0000000070,2024,003,D,468414,94642.65,96846.33,USD,Tax posting
3000,0000000071,2020,001,S,326040,191497.8,184470.98,USD,Clearing entry
3000,0000000072,2023,001,K,757993,8997.21,8968.38,COP,Revenue rec
3000,0000000072,2023,002,K,548902,24744.37,22650.06,COP,Clearing entry
3000,0000000073,2024,001,D,214016,179429.68,175893.25,USD,Clearing entry
3000,0000000073,2024,002,S,942610,91182.09,99130.66,USD,Tax posting
3000,0000000074,2023,001,A,350826,56539.12,61813.39,USD,Cost allocation
2000,0000000075,2024,001,K,739200,56719.53,52479.85,USD,Revenue rec
2000,0000000076,2021,001,D,533866,159979.99,157579.81,EUR,Revenue rec
2000,0000000076,2021,002,K,284060,79658.78,75224.39,EUR,Tax posting
1000,0000000077,2023,001,S,456256,180870.42,181239.13,COP,Tax posting
3000,0000000078,2023,001,S,447872,50146.82,48525.8,USD,Tax posting
3000,0000000078,2023,002,D,156768,91407.72,94596.97,USD,Tax posting
1000,0000000079,2024,001,D,576781,149490.58,156188.45,USD,Line item desc
1000,0000000079,2024,002,S,884677,1592.87,1702.92,USD,Tax posting
1000,0000000079,2024,003,K,546972,109994.34,111733.29,USD,Revenue rec
1000,0000000079,2024,004,K,910131,92498.96,84562.51,USD,Cost allocation
3000,0000000080,2024,001,K,990652,139579.96,136315.79,USD,Clearing entry
2000,0000000081,2020,001,D,482704,162048.07,171752.74,EUR,Cost allocation
2000,0000000081,2020,002,D,897170,114891.2,119400.95,EUR,Cost allocation
3000,0000000082,2024,001,S,385887,125947.28,126696.04,EUR,Clearing entry
3000,0000000083,2023,001,A,446918,193665.12,192622.44,COP,Line item desc
3000,0000000083,2023,002,M,411217,179282.08,168107.27,COP,Line item desc
3000,0000000083,2023,003,D,133624,141267.43,131319.54,COP,Cost allocation
2000,0000000084,2021,001,A,886302,136696.66,137470.93,USD,Revenue rec
2000,0000000084,2021,002,S,875123,125634.6,115844.37,USD,Line item desc
2000,0000000084,2021,003,K,419382,28579.76,26115.18,USD,Line item desc
2000,0000000084,2021,004,S,670816,64632.61,64689.8,USD,Revenue rec
1000,0000000085,2023,001,D,299608,10028.22,9595.87,COP,Revenue rec
1000,0000000086,2020,001,A,312947,44892.87,47262.79,COP,Line item desc
1000,0000000086,2020,002,S,833901,63176.06,60682.56,COP,Tax posting
1000,0000000087,2021,001,M,395497,629.49,581.59,EUR,Revenue rec
2000,0000000088,2022,001,A,134608,90194.9,92716.52,EUR,Cost allocation
2000,0000000088,2022,002,A,111244,19223.63,20486.45,EUR,Revenue rec
2000,0000000089,2020,001,D,457573,12344.46,12847.53,EUR,Clearing entry
2000,0000000089,2020,002,D,322475,33964.92,36820.87,EUR,Clearing entry
2000,0000000089,2020,003,K,570895,148982.77,153212.21,EUR,Clearing entry
2000,0000000089,2020,004,M,213708,74853.7,74165.25,EUR,Clearing entry
3000,0000000090,2021,001,S,733661,75026.4,68940.16,COP,Cost allocation
3000,0000000090,2021,002,M,350588,193576.08,175400.32,COP,Line item desc
3000,0000000090,2021,003,S,856137,196207.29,190834.49,COP,Clearing entry
3000,0000000090,2021,004,A,736040,16838.25,17744.41,COP,Cost allocation
3000,0000000091,2020,001,K,611837,143509.02,146059.41,USD,Tax posting
3000,0000000091,2020,002,A,129286,57540.11,57760.28,USD,Revenue rec
2000,0000000092,2020,001,S,838414,8679.92,9057.28,COP,Revenue rec
2000,0000000092,2020,002,S,968257,185618.88,172597.42,COP,Revenue rec
2000,0000000092,2020,003,S,589773,114208.23,103277.46,COP,Tax posting
2000,0000000093,2022,001,K,704555,173007.62,164736.46,EUR,Cost allocation
2000,0000000093,2022,002,A,664117,173876.23,187116.43,EUR,Revenue rec
2000,0000000093,2022,003,D,572034,85104.46,78477.54,EUR,Cost allocation
2000,0000000093,2022,004,D,970522,82163.45,84325.66,EUR,Tax posting
3000,0000000094,2024,001,A,637429,24300.15,26053.36,EUR,Line item desc
2000,0000000095,2024,001,M,926222,5326.59,5028.6,COP,Line item desc
2000,0000000096,2024,001,M,103657,117933.98,125353.95,USD,Line item desc
1000,0000000097,2023,001,D,242537,9839.28,9838.48,USD,Tax posting
1000,0000000097,2023,002,M,125295,133371.02,129229.2,USD,Clearing entry
1000,0000000097,2023,003,A,992482,92393.35,92315.07,USD,Line item desc
1000,0000000097,2023,004,M,586692,16971.14,15729.3,USD,Tax posting
2000,0000000098,2024,001,K,210290,176194.21,178420.18,COP,Tax posting
2000,0000000098,2024,002,M,520722,129513.54,124486.05,COP,Line item desc
3000,0000000099,2021,001,S,723510,89947.15,87464.91,USD,Clearing entry
3000,0000000099,2021,002,M,957143,137185.05,128055.07,USD,Line item desc
3000,0000000099,2021,003,K,314593,70852.53,68987.62,USD,Cost allocation
3000,0000000099,2021,004,M,874402,171103.79,176678.2,USD,Revenue rec
1000,0000000100,2023,001,K,620082,70373.58,68359.83,EUR,Tax posting
1000,0000000100,2023,002,S,949843,93421.77,97578.65,EUR,Tax posting
3000,0000000101,2024,001,M,226508,37867.89,38254.12,USD,Line item desc
3000,0000000101,2024,002,A,374873,98038.37,98226.45,USD,Revenue rec
3000,0000000101,2024,003,M,350355,99850.26,97330.36,USD,Clearing entry
3000,0000000101,2024,004,S,786403,185705.14,187564.65,USD,Cost allocation
2000,0000000102,2022,001,M,706799,74600.1,75946.7,USD,Line item desc
2000,0000000102,2022,002,D,910571,35529.88,32233.39,USD,Line item desc
1000,0000000103,2021,001,A,366519,12363.32,12179.81,USD,Clearing entry
1000,0000000103,2021,002,A,949195,24661.59,24616.72,USD,Clearing entry
3000,0000000104,2022,001,M,703136,113741.03,106669.73,USD,Revenue rec
2000,0000000105,2020,001,D,757576,135664.85,124168.66,USD,Clearing entry
2000,0000000105,2020,002,D,141529,95704.12,92276.7,USD,Tax posting
2000,0000000106,2021,001,A,492074,103144.14,97618.56,COP,Revenue rec
2000,0000000106,2021,002,D,544098,168628.38,175020.94,COP,Line item desc
2000,0000000107,2023,001,S,913225,119664.67,120834.05,COP,Tax posting
2000,0000000107,2023,002,M,229908,50753.54,46832.69,COP,Clearing entry
1000,0000000108,2023,001,M,306535,80676.03,77293.81,EUR,Revenue rec
1000,0000000108,2023,002,D,698302,24487.99,26807.27,EUR,Cost allocation
1000,0000000109,2024,001,K,561893,115822.88,119176.86,COP,Clearing entry
1000,0000000109,2024,002,K,931747,86328.72,81913.78,COP,Revenue rec
3000,0000000110,2024,001,K,431628,74735.66,72129.73,USD,Tax posting
3000,0000000110,2024,002,A,859976,138560.01,138075.49,USD,Clearing entry
3000,0000000110,2024,003,S,313741,15821.58,14474.1,USD,Cost allocation
3000,0000000110,2024,004,D,416470,133880.0,137648.43,USD,Cost allocation
3000,0000000111,2023,001,K,172047,49564.63,51447.43,COP,Tax posting
3000,0000000111,2023,002,M,247558,70376.09,76005.21,COP,Tax posting
3000,0000000111,2023,003,M,384870,31626.33,31724.81,COP,Cost allocation
3000,0000000112,2021,001,S,572600,118325.25,121724.78,COP,Tax posting
3000,0000000112,2021,002,M,369045,37331.34,35069.65,COP,Clearing entry
3000,0000000112,2021,003,M,495908,20128.97,21698.68,COP,Tax posting
3000,0000000112,2021,004,M,663197,195297.3,188087.84,COP,Line item desc
1000,0000000113,2021,001,S,338896,114547.38,120824.82,EUR,Clearing entry
1000,0000000113,2021,002,S,378944,128661.1,136428.77,EUR,Line item desc
1000,0000000113,2021,003,K,116401,157180.58,150888.39,EUR,Tax posting
1000,0000000113,2021,004,M,596965,155915.39,148445.25,EUR,Cost allocation
1000,0000000114,2021,001,M,257552,55717.1,51423.9,EUR,Line item desc
1000,0000000114,2021,002,M,938542,21405.5,19568.92,EUR,Clearing entry
1000,0000000114,2021,003,M,535849,175464.4,179370.08,EUR,Clearing entry
1000,0000000115,2022,001,D,899707,42864.87,45844.17,EUR,Clearing entry
3000,0000000116,2021,001,S,320344,73973.7,74397.86,COP,Clearing entry
3000,0000000116,2021,002,K,205639,177553.4,162963.93,COP,Tax posting
2000,0000000117,2024,001,S,580306,171025.47,166559.36,USD,Line item desc
3000,0000000118,2022,001,A,400199,174136.36,186032.06,EUR,Cost allocation
1000,0000000119,2024,001,S,439040,37515.92,35893.97,EUR,Cost allocation
1000,0000000119,2024,002,D,229436,699.14,745.36,EUR,Revenue rec
1000,0000000119,2024,003,A,753245,141824.3,147758.09,EUR,Cost allocation
1000,0000000119,2024,004,D,697285,28860.0,27616.08,EUR,Tax posting
1000,0000000120,2020,001,D,798779,150162.31,144008.77,EUR,Revenue rec
3000,0000000121,2020,001,K,940368,76635.83,78539.81,USD,Revenue rec
3000,0000000121,2020,002,S,595226,166648.38,172820.38,USD,Line item desc
3000,0000000121,2020,003,D,698401,83453.26,83878.7,USD,Line item desc
3000,0000000121,2020,004,M,911378,10341.69,10046.89,USD,Tax posting
2000,0000000122,2021,001,K,372376,67492.54,69279.84,COP,Line item desc
2000,0000000122,2021,002,K,278737,148055.54,138149.38,COP,Line item desc
2000,0000000123,2022,001,K,501572,67623.88,67821.28,USD,Clearing entry
2000,0000000123,2022,002,S,796734,67520.12,71976.46,USD,Clearing entry
2000,0000000123,2022,003,S,382919,146399.84,135327.52,USD,Cost allocation
2000,0000000123,2022,004,A,511110,134838.57,131053.83,USD,Line item desc
3000,0000000124,2023,001,M,938991,103601.83,112325.59,COP,Revenue rec
3000,0000000124,2023,002,S,678735,180962.92,167085.7,COP,Clearing entry
2000,0000000125,2022,001,A,675462,133413.2,124619.55,EUR,Line item desc
2000,0000000126,2023,001,S,721437,35576.94,33287.79,USD,Line item desc
2000,0000000126,2023,002,K,774365,162897.26,168943.15,USD,Revenue rec
2000,0000000126,2023,003,M,737119,32048.48,30576.4,USD,Line item desc
2000,0000000127,2020,001,K,887564,22076.2,20239.86,COP,Clearing entry
2000,0000000127,2020,002,A,705286,192297.43,195415.76,COP,Clearing entry
2000,0000000127,2020,003,D,532210,24243.37,23377.63,COP,Line item desc
2000,0000000128,2020,001,K,213322,165778.27,164127.93,COP,Line item desc
3000,0000000129,2020,001,M,778011,10375.64,9966.27,COP,Revenue rec
3000,0000000129,2020,002,M,638433,87196.17,95224.43,COP,Tax posting
3000,0000000130,2021,001,S,670172,72829.22,66625.67,EUR,Clearing entry
3000,0000000130,2021,002,D,938116,29417.76,30005.28,EUR,Cost allocation
3000,0000000130,2021,003,A,800474,132431.76,127848.26,EUR,Clearing entry
3000,0000000130,2021,004,A,427335,190331.68,207712.46,EUR,Clearing entry
2000,0000000131,2023,001,S,300685,199229.0,211019.24,COP,Line item desc
3000,0000000132,2021,001,K,299950,178491.45,162842.62,USD,Revenue rec
1000,0000000133,2022,001,S,522200,43584.77,46451.09,EUR,Clearing entry
1000,0000000133,2022,002,D,403898,153512.13,143780.41,EUR,Revenue rec
2000,0000000134,2024,001,D,861819,145466.85,156427.47,EUR,Revenue rec
2000,0000000135,2022,001,A,599765,34872.37,37199.27,EUR,Cost allocation
2000,0000000135,2022,002,D,110514,199814.46,219595.73,EUR,Revenue rec
2000,0000000135,2022,003,S,266645,49417.06,46864.59,EUR,Tax posting
2000,0000000135,2022,004,K,953061,88230.23,87315.96,EUR,Tax posting
1000,0000000136,2022,001,D,749151,62221.81,67432.45,USD,Cost allocation
2000,0000000137,2020,001,A,842736,127976.35,125292.41,USD,Tax posting
2000,0000000137,2020,002,M,834842,60511.67,65068.35,USD,Tax posting
2000,0000000137,2020,003,D,178683,97384.63,88419.74,USD,Revenue rec
2000,0000000137,2020,004,S,983779,35736.7,37081.47,USD,Line item desc
3000,0000000138,2023,001,K,929819,166520.38,162203.2,USD,Line item desc
3000,0000000138,2023,002,M,849401,3783.08,4057.69,USD,Cost allocation
2000,0000000139,2022,001,D,461407,159665.85,152529.08,EUR,Tax posting
2000,0000000139,2022,002,K,558089,69303.72,72698.79,EUR,Clearing entry
2000,0000000139,2022,003,D,722359,118542.51,110905.57,EUR,Tax posting
3000,0000000140,2023,001,S,833286,116206.97,108892.44,EUR,Clearing entry
3000,0000000140,2023,002,M,277481,131529.98,139291.18,EUR,Clearing entry
1000,0000000141,2022,001,D,803193,181571.74,186167.62,USD,Tax posting
1000,0000000141,2022,002,A,641036,109878.67,99359.8,USD,Line item desc
1000,0000000142,2023,001,D,469394,36170.09,39091.09,COP,Tax posting
1000,0000000142,2023,002,D,182914,154665.93,155317.52,COP,Clearing entry
1000,0000000142,2023,003,D,174214,73474.78,78186.26,COP,Tax posting
2000,0000000143,2022,001,D,434232,134908.7,128148.33,COP,Tax posting
2000,0000000143,2022,002,S,107168,143996.98,153071.55,COP,Line item desc
3000,0000000144,2021,001,K,858345,95923.24,97047.26,EUR,Revenue rec
3000,0000000144,2021,002,M,739024,113290.16,115826.86,EUR,Tax posting
3000,0000000144,2021,003,S,578222,39604.06,38636.81,EUR,Tax posting
3000,0000000144,2021,004,A,231329,140884.66,148455.72,EUR,Cost allocation
1000,0000000145,2023,001,M,475812,162382.73,148513.92,USD,Revenue rec
2000,0000000146,2020,001,S,884599,147982.61,138254.67,EUR,Revenue rec
2000,0000000146,2020,002,S,205719,116560.66,109477.14,EUR,Cost allocation
2000,0000000146,2020,003,S,742078,141611.01,129356.58,EUR,Revenue rec
2000,0000000147,2022,001,D,791480,116387.92,120781.9,EUR,Line item desc
1000,0000000148,2023,001,A,622069,5230.64,5030.43,COP,Line item desc
