VBELN,POSNR,MATNR,KWMENG,NETWR,WAERK,MEINS,WERKS,LGORT
0000000022,000010,MAT00000187,108.145,202610.74,COP,UN,0003,0005
0000000022,000020,MAT00000123,292.485,855115.0,COP,L,0001,0003
0000000022,000030,MAT00000055,246.363,1080543.19,COP,M,0002,0001
0000000022,000040,MAT00000089,281.013,308673.11,COP,UN,0002,0003
0000000023,000010,MAT00000030,184.204,580402.86,USD,M,0002,0006
0000000023,000020,MAT00000119,656.489,845177.07,USD,L,0001,0008
0000000023,000030,MAT00000121,762.592,3186216.14,USD,L,0004,0009
0000000023,000040,MAT00000157,361.803,888664.15,USD,ST,0003,0009
0000000023,000050,MAT00000197,650.212,2756476.24,USD,ST,0003,0008
0000000024,000010,MAT00000100,211.672,832033.95,EUR,KG,0004,0005
0000000024,000020,MAT00000230,535.966,1073577.42,EUR,L,0001,0001
0000000024,000030,MAT00000172,188.643,402988.61,EUR,ST,0001,0008
0000000025,000010,MAT00000098,910.343,2632848.51,EUR,L,0001,0001
0000000025,000020,MAT00000240,345.856,519869.99,EUR,UN,0002,0004
0000000025,000030,MAT00000050,366.668,1042363.79,EUR,KG,0004,0001
0000000026,000010,MAT00000208,128.442,343566.94,EUR,UN,0003,0004
0000000026,000020,MAT00000110,766.85,1453449.15,EUR,L,0002,0001
0000000026,000030,MAT00000059,670.656,369176.01,EUR,L,0004,0001
0000000027,000010,MAT00000144,84.333,367879.1,USD,KG,0001,0004
0000000027,000020,MAT00000176,726.937,3504323.39,USD,KG,0004,0007
0000000027,000030,MAT00000123,805.965,3865940.08,USD,L,0004,0003
0000000027,000040,MAT00000062,503.986,2446756.27,USD,UN,0001,0007
0000000028,000010,MAT00000261,537.177,810487.29,COP,ST,0002,0006
0000000029,000010,MAT00000268,983.056,2219003.16,COP,KG,0004,0004
0000000030,000010,MAT00000174,940.855,1351425.3,USD,KG,0004,0008
0000000030,000020,MAT00000072,765.633,2601812.34,USD,KG,0004,0006
0000000030,000030,MAT00000023,217.893,1015220.14,USD,ST,0001,0006
0000000030,000040,MAT00000112,195.821,313454.59,USD,ST,0004,0006
0000000030,000050,MAT00000246,664.665,2529070.26,USD,KG,0004,0007
0000000031,000010,MAT00000228,891.137,1369365.67,EUR,UN,0002,0001
0000000031,000020,MAT00000083,304.028,1192525.51,EUR,L,0001,0003
0000000031,000030,MAT00000113,715.106,1759768.6,EUR,UN,0001,0003
0000000031,000040,MAT00000138,31.294,150192.11,EUR,M,0001,0009
0000000031,000050,MAT00000248,573.699,1390950.44,EUR,KG,0003,0003
0000000032,000010,MAT00000200,558.49,1216609.03,EUR,M,0001,0005
0000000032,000020,MAT00000295,79.144,171209.84,EUR,M,0004,0009
0000000032,000030,MAT00000008,89.578,293703.87,EUR,M,0003,0002
0000000032,000040,MAT00000002,967.063,3074960.55,EUR,KG,0003,0003
0000000032,000050,MAT00000185,629.443,1338132.87,EUR,M,0001,0006
0000000033,000010,MAT00000249,615.028,1596219.07,COP,ST,0002,0002
0000000034,000010,MAT00000052,631.482,1161036.49,COP,L,0003,0003
0000000034,000020,MAT00000056,282.293,554578.71,COP,L,0001,0008
0000000034,000030,MAT00000176,966.468,3678647.82,COP,KG,0001,0008
0000000034,000040,MAT00000244,409.051,1803199.07,COP,L,0003,0001
0000000034,000050,MAT00000027,444.891,72895.39,COP,ST,0002,0003
0000000035,000010,MAT00000276,854.269,1586855.92,EUR,UN,0004,0003
0000000035,000020,MAT00000273,157.622,253263.88,EUR,ST,0004,0002
0000000035,000030,MAT00000073,116.029,272834.07,EUR,ST,0003,0006
0000000036,000010,MAT00000157,528.124,1451828.72,COP,ST,0003,0009
0000000037,000010,MAT00000175,25.039,99046.52,COP,ST,0002,0002
0000000037,000020,MAT00000198,692.66,3141074.57,COP,L,0001,0008
0000000037,000030,MAT00000242,932.676,2114031.4,COP,M,0004,0008
0000000037,000040,MAT00000043,919.349,1518166.97,COP,M,0002,0001
0000000038,000010,MAT00000196,121.0,276413.61,EUR,ST,0003,0005
0000000039,000010,MAT00000189,876.301,390392.1,COP,L,0004,0001
0000000039,000020,MAT00000113,62.093,121623.42,COP,UN,0004,0004
0000000039,000030,MAT00000126,814.233,316891.34,COP,KG,0003,0009
0000000040,000010,MAT00000105,862.151,196139.35,USD,KG,0002,0002
0000000040,000020,MAT00000125,280.426,776488.38,USD,ST,0003,0003
0000000040,000030,MAT00000067,968.573,1326509.15,USD,L,0002,0006
0000000041,000010,MAT00000155,703.689,1026203.74,COP,M,0003,0001
0000000041,000020,MAT00000060,25.497,118005.98,COP,ST,0001,0008
0000000042,000010,MAT00000138,530.583,151247.99,COP,M,0002,0008
0000000042,000020,MAT00000217,233.114,1131169.37,COP,KG,0004,0003
0000000042,000030,MAT00000284,756.926,3714167.76,COP,L,0003,0001
0000000043,000010,MAT00000153,137.881,502191.56,EUR,KG,0001,0005
0000000043,000020,MAT00000182,182.646,756201.93,EUR,L,0001,0005
0000000043,000030,MAT00000097,966.482,46565.1,EUR,M,0001,0005
0000000043,000040,MAT00000016,408.233,1752568.76,EUR,M,0004,0009
0000000043,000050,MAT00000158,441.891,1272968.66,EUR,KG,0001,0009
0000000044,000010,MAT00000174,801.584,1521342.31,COP,KG,0003,0001
0000000044,000020,MAT00000097,771.935,1056269.54,COP,M,0003,0001
0000000044,000030,MAT00000208,865.954,97610.33,COP,UN,0002,0003
0000000044,000040,MAT00000183,557.96,2596383.17,COP,KG,0004,0005
0000000045,000010,MAT00000205,973.371,2409531.24,COP,M,0002,0002
0000000045,000020,MAT00000004,418.393,1890316.31,COP,KG,0002,0006
0000000045,000030,MAT00000239,453.334,1334692.36,COP,L,0004,0009
0000000045,000040,MAT00000108,628.868,272224.38,COP,M,0004,0001
0000000045,000050,MAT00000267,630.045,925933.03,COP,UN,0004,0004
0000000046,000010,MAT00000230,104.383,31348.3,COP,L,0002,0006
0000000047,000010,MAT00000200,343.76,1154009.2,USD,M,0004,0004
0000000047,000020,MAT00000101,947.988,351807.83,USD,KG,0004,0003
0000000048,000010,MAT00000181,40.878,147863.49,USD,UN,0004,0006
0000000049,000010,MAT00000280,273.967,539235.55,EUR,M,0004,0003
0000000049,000020,MAT00000226,103.895,34067.17,EUR,M,0003,0001
0000000049,000030,MAT00000056,230.114,840746.81,EUR,L,0004,0006
0000000049,000040,MAT00000126,446.126,2209559.47,EUR,KG,0002,0008
0000000050,000010,MAT00000189,51.754,244320.8,USD,L,0003,0003
0000000050,000020,MAT00000124,244.803,456307.9,USD,L,0003,0003
0000000050,000030,MAT00000022,513.692,1193773.98,USD,KG,0003,0001
0000000050,000040,MAT00000061,607.189,599040.52,USD,UN,0003,0005
0000000050,000050,MAT00000111,673.033,1250253.02,USD,UN,0001,0006
0000000051,000010,MAT00000081,497.498,2235293.34,COP,UN,0002,0006
0000000051,000020,MAT00000224,683.218,1203652.48,COP,M,0001,0005
0000000052,000010,MAT00000110,483.167,133155.99,USD,L,0003,0006
0000000052,000020,MAT00000052,191.25,794180.92,USD,L,0002,0009
0000000053,000010,MAT00000114,956.924,4549522.91,EUR,L,0004,0007
0000000053,000020,MAT00000038,863.956,334523.76,EUR,UN,0003,0009
0000000053,000030,MAT00000279,551.873,991804.08,EUR,M,0004,0006
0000000054,000010,MAT00000085,630.049,1432605.42,USD,M,0003,0009
0000000055,000010,MAT00000004,778.453,247088.77,EUR,KG,0001,0002
0000000055,000020,MAT00000275,103.465,173810.85,EUR,KG,0001,0006
0000000055,000030,MAT00000088,541.758,2514634.77,EUR,L,0002,0001
0000000055,000040,MAT00000274,157.052,10707.81,EUR,L,0001,0001
0000000055,000050,MAT00000260,926.091,4553885.8,EUR,M,0004,0009
0000000056,000010,MAT00000287,995.843,1486843.39,EUR,ST,0004,0004
0000000057,000010,MAT00000241,632.077,2674905.62,EUR,L,0004,0003
0000000057,000020,MAT00000283,240.326,46404.55,EUR,ST,0002,0001
0000000057,000030,MAT00000215,215.687,602553.99,EUR,M,0001,0007
0000000058,000010,MAT00000080,154.873,349837.97,COP,UN,0003,0003
0000000059,000010,MAT00000243,553.973,2719708.28,EUR,KG,0002,0008
0000000060,000010,MAT00000038,841.666,3201032.55,EUR,UN,0001,0002
0000000060,000020,MAT00000285,775.78,661848.95,EUR,KG,0003,0002
0000000060,000030,MAT00000078,82.275,295822.23,EUR,UN,0002,0001
0000000060,000040,MAT00000260,249.461,776502.24,EUR,M,0002,0004
0000000061,000010,MAT00000222,144.967,297237.44,USD,ST,0003,0003
0000000061,000020,MAT00000130,11.678,2091.76,USD,ST,0001,0008
0000000061,000030,MAT00000143,810.093,1472659.96,USD,L,0001,0005
0000000062,000010,MAT00000246,239.588,242127.63,USD,KG,0002,0004
0000000062,000020,MAT00000205,476.211,100051.93,USD,M,0004,0003
0000000062,000030,MAT00000265,18.926,82718.73,USD,ST,0003,0007
0000000063,000010,MAT00000175,137.605,563720.9,USD,ST,0003,0001
0000000064,000010,MAT00000152,498.496,1903287.64,USD,UN,0001,0001
0000000064,000020,MAT00000019,144.308,246661.34,USD,KG,0004,0009
0000000064,000030,MAT00000275,924.409,4263799.54,USD,KG,0004,0008
0000000064,000040,MAT00000280,120.602,581419.83,USD,M,0004,0005
0000000064,000050,MAT00000026,126.375,583170.08,USD,L,0002,0009
0000000065,000010,MAT00000224,872.028,1454795.59,USD,M,0004,0008
0000000065,000020,MAT00000205,216.09,483522.98,USD,M,0004,0003
0000000065,000030,MAT00000239,757.123,1350071.45,USD,L,0004,0004
0000000065,000040,MAT00000055,793.734,2213192.32,USD,M,0002,0002
0000000065,000050,MAT00000102,75.154,84712.84,USD,L,0004,0001
0000000066,000010,MAT00000292,158.173,700619.39,EUR,ST,0003,0007
0000000066,000020,MAT00000071,159.912,776718.17,EUR,KG,0002,0006
0000000066,000030,MAT00000139,301.992,1362548.65,EUR,ST,0002,0007
0000000066,000040,MAT00000101,756.539,2540215.87,EUR,KG,0002,0007
0000000067,000010,MAT00000290,103.529,250224.42,COP,UN,0004,0004
0000000067,000020,MAT00000101,4.341,17486.55,COP,KG,0001,0006
0000000067,000030,MAT00000288,259.4,352293.73,COP,L,0004,0008
0000000067,000040,MAT00000132,534.886,2181393.48,COP,KG,0003,0008
0000000068,000010,MAT00000206,497.702,1861709.08,EUR,M,0003,0009
0000000069,000010,MAT00000219,306.855,1502696.55,EUR,L,0002,0001
0000000069,000020,MAT00000260,504.065,1896786.51,EUR,M,0001,0006
0000000069,000030,MAT00000164,53.096,101052.84,EUR,L,0003,0001
0000000070,000010,MAT00000111,660.852,2769676.99,EUR,UN,0004,0003
0000000070,000020,MAT00000219,956.256,3687944.7,EUR,L,0001,0009
0000000071,000010,MAT00000292,340.614,1688828.93,USD,ST,0001,0005
0000000071,000020,MAT00000188,455.516,2246149.4,USD,L,0002,0009
0000000071,000030,MAT00000052,379.205,69314.88,USD,L,0003,0007
0000000072,000010,MAT00000167,140.267,314794.21,EUR,L,0004,0008
0000000073,000010,MAT00000283,734.689,3430020.49,USD,ST,0004,0007
0000000073,000020,MAT00000234,728.394,2483146.13,USD,KG,0002,0002
0000000073,000030,MAT00000156,549.178,432746.77,USD,L,0004,0006
0000000073,000040,MAT00000219,41.336,138794.71,USD,L,0001,0003
0000000074,000010,MAT00000203,926.974,301275.82,USD,KG,0004,0003
0000000075,000010,MAT00000093,252.297,852978.31,USD,UN,0001,0006
0000000076,000010,MAT00000194,151.492,154976.32,USD,UN,0004,0004
0000000076,000020,MAT00000286,326.242,703710.52,USD,KG,0001,0006
0000000077,000010,MAT00000194,154.816,320911.89,COP,UN,0004,0006
0000000077,000020,MAT00000145,522.306,279841.11,COP,KG,0001,0002
0000000078,000010,MAT00000246,50.125,238914.3,USD,KG,0002,0002
0000000079,000010,MAT00000245,420.988,509260.76,COP,UN,0004,0001
0000000080,000010,MAT00000240,357.725,474990.83,COP,UN,0003,0001
0000000080,000020,MAT00000247,789.406,283925.66,COP,ST,0004,0003
0000000080,000030,MAT00000182,544.3,1488410.12,COP,L,0001,0004
0000000080,000040,MAT00000070,651.578,571818.34,COP,M,0004,0006
0000000081,000010,MAT00000078,652.167,2858937.09,EUR,UN,0001,0001
0000000081,000020,MAT00000190,395.916,602322.85,EUR,L,0002,0005
0000000081,000030,MAT00000106,40.137,7870.06,EUR,M,0003,0009
0000000082,000010,MAT00000290,66.286,292862.15,COP,UN,0001,0001
0000000082,000020,MAT00000287,393.967,640424.88,COP,ST,0004,0009
0000000083,000010,MAT00000296,492.465,134600.53,USD,UN,0001,0006
0000000083,000020,MAT00000243,253.993,170647.74,USD,KG,0003,0004
0000000083,000030,MAT00000076,76.898,374058.02,USD,KG,0004,0007
0000000083,000040,MAT00000275,146.873,135366.97,USD,KG,0004,0004
0000000084,000010,MAT00000248,249.927,1051612.84,COP,KG,0002,0008
0000000085,000010,MAT00000248,211.176,591679.25,USD,KG,0004,0008
0000000086,000010,MAT00000275,308.19,1439441.46,USD,KG,0001,0001
0000000086,000020,MAT00000245,257.479,761911.26,USD,UN,0004,0006
0000000086,000030,MAT00000230,796.168,627045.99,USD,L,0001,0009
0000000087,000010,MAT00000189,191.618,74349.7,COP,L,0004,0006
0000000087,000020,MAT00000029,291.753,336639.2,COP,KG,0003,0005
0000000087,000030,MAT00000277,291.431,636663.08,COP,ST,0001,0002
0000000088,000010,MAT00000237,90.036,68908.15,EUR,KG,0001,0003
0000000088,000020,MAT00000144,511.033,400782.74,EUR,KG,0001,0004
0000000088,000030,MAT00000094,45.139,161783.59,EUR,ST,0002,0006
0000000088,000040,MAT00000246,337.009,308369.98,EUR,KG,0002,0006
0000000089,000010,MAT00000152,531.645,319141.18,COP,UN,0002,0003
0000000089,000020,MAT00000292,215.645,940630.55,COP,ST,0001,0002
0000000089,000030,MAT00000251,600.099,1610263.65,COP,UN,0003,0002
0000000090,000010,MAT00000179,828.906,3051542.84,USD,UN,0003,0005
0000000090,000020,MAT00000040,140.875,574960.18,USD,KG,0004,0007
0000000090,000030,MAT00000287,895.016,3081101.53,USD,ST,0001,0006
0000000091,000010,MAT00000122,116.177,123979.45,EUR,L,0004,0001
0000000091,000020,MAT00000053,307.916,790916.12,EUR,L,0002,0001
0000000091,000030,MAT00000156,812.267,1643703.5,EUR,L,0003,0009
0000000091,000040,MAT00000171,128.707,505235.47,EUR,M,0001,0001
0000000092,000010,MAT00000254,850.034,2560115.4,USD,ST,0002,0001
0000000093,000010,MAT00000246,39.471,166453.55,COP,KG,0004,0003
0000000093,000020,MAT00000241,374.688,413790.44,COP,L,0003,0007
0000000093,000030,MAT00000187,451.754,1895916.67,COP,UN,0003,0007
0000000093,000040,MAT00000015,122.439,92806.31,COP,L,0003,0006
0000000094,000010,MAT00000200,701.298,3023751.52,EUR,M,0002,0004
0000000094,000020,MAT00000257,613.963,1533771.67,EUR,KG,0002,0007
0000000095,000010,MAT00000246,50.326,247721.18,EUR,KG,0002,0008
0000000095,000020,MAT00000006,546.359,663367.24,EUR,M,0002,0009
0000000095,000030,MAT00000043,714.776,2172525.91,EUR,M,0003,0001
0000000095,000040,MAT00000230,561.386,1945337.22,EUR,L,0004,0006
0000000095,000050,MAT00000179,560.528,1743690.5,EUR,UN,0001,0004
0000000096,000010,MAT00000154,398.737,806808.43,USD,KG,0003,0003
0000000096,000020,MAT00000072,520.095,1198881.39,USD,KG,0003,0004
0000000096,000030,MAT00000127,612.339,2035616.91,USD,M,0004,0009
0000000097,000010,MAT00000218,62.571,15270.45,USD,M,0002,0006
0000000097,000020,MAT00000204,674.625,2918778.56,USD,L,0002,0008
0000000097,000030,MAT00000217,749.444,2144489.04,USD,KG,0004,0002
0000000097,000040,MAT00000146,434.393,1931715.26,USD,KG,0004,0004
0000000097,000050,MAT00000067,983.24,2279376.47,USD,L,0003,0001
0000000098,000010,MAT00000189,359.225,75167.83,EUR,L,0002,0005
0000000098,000020,MAT00000282,276.215,289296.54,EUR,L,0002,0009
0000000098,000030,MAT00000167,324.184,505905.34,EUR,L,0003,0008
0000000099,000010,MAT00000065,531.992,1593794.83,USD,ST,0001,0003
0000000099,000020,MAT00000207,522.611,2426049.11,USD,L,0001,0003
0000000099,000030,MAT00000047,101.185,273523.29,USD,ST,0003,0004
0000000099,000040,MAT00000106,602.4,2772178.54,USD,M,0002,0006
0000000099,000050,MAT00000225,687.778,3256690.73,USD,UN,0004,0006
0000000100,000010,MAT00000177,660.578,438306.71,USD,M,0004,0004
0000000101,000010,MAT00000271,6.374,28937.39,EUR,M,0001,0004
0000000102,000010,MAT00000057,26.338,117378.98,EUR,ST,0003,0002
0000000102,000020,MAT00000090,434.089,1626470.71,EUR,ST,0001,0002
0000000102,000030,MAT00000028,224.225,157533.76,EUR,KG,0001,0008
0000000102,000040,MAT00000073,594.739,2386503.24,EUR,ST,0003,0005
0000000102,000050,MAT00000232,255.594,1214437.0,EUR,M,0002,0003
0000000103,000010,MAT00000199,285.224,712227.15,USD,M,0002,0009
0000000103,000020,MAT00000200,223.752,99950.02,USD,M,0004,0004
0000000103,000030,MAT00000131,335.864,613724.29,USD,L,0003,0008
0000000103,000040,MAT00000007,416.483,76911.92,USD,UN,0004,0009
0000000104,000010,MAT00000188,311.496,690191.03,COP,L,0002,0009
0000000105,000010,MAT00000250,567.01,315025.09,EUR,L,0004,0007
0000000105,000020,MAT00000074,82.498,138934.88,EUR,ST,0004,0004
0000000105,000030,MAT00000043,276.807,931588.42,EUR,M,0002,0004
0000000105,000040,MAT00000056,371.128,394067.42,EUR,L,0003,0003
0000000105,000050,MAT00000166,197.348,180798.4,EUR,L,0001,0009
0000000106,000010,MAT00000095,683.191,3100054.31,COP,UN,0003,0004
0000000107,000010,MAT00000041,793.565,214365.71,USD,UN,0001,0002
0000000107,000020,MAT00000048,131.502,177839.36,USD,L,0001,0002
0000000107,000030,MAT00000254,141.143,158018.06,USD,ST,0003,0007
0000000107,000040,MAT00000256,487.289,2255460.99,USD,UN,0003,0003
0000000107,000050,MAT00000204,550.228,2085842.82,USD,L,0001,0009
0000000108,000010,MAT00000207,827.956,2121529.62,EUR,L,0003,0005
0000000108,000020,MAT00000078,238.162,216020.08,EUR,UN,0001,0007
0000000109,000010,MAT00000261,548.522,1919102.95,USD,ST,0001,0009
0000000109,000020,MAT00000035,484.25,1996901.72,USD,L,0001,0002
0000000109,000030,MAT00000192,605.488,2820441.82,USD,UN,0004,0008
0000000109,000040,MAT00000005,779.738,1168312.63,USD,M,0003,0004
0000000109,000050,MAT00000133,978.758,3075962.34,USD,ST,0002,0002
0000000110,000010,MAT00000111,556.395,1576706.59,COP,UN,0003,0006
0000000110,000020,MAT00000188,10.647,21936.23,COP,L,0003,0003
0000000110,000030,MAT00000009,134.63,181693.96,COP,UN,0003,0003
0000000110,000040,MAT00000268,747.064,1284628.84,COP,KG,0003,0003
0000000111,000010,MAT00000085,936.296,3178481.48,COP,M,0002,0005
0000000111,000020,MAT00000070,694.833,2730033.6,COP,M,0001,0005
0000000111,000030,MAT00000079,663.632,1158741.29,COP,UN,0003,0004
0000000112,000010,MAT00000293,90.97,328386.24,USD,M,0004,0009
0000000112,000020,MAT00000020,480.17,327418.32,USD,L,0003,0005
0000000113,000010,MAT00000144,760.363,3397560.41,EUR,KG,0002,0003
0000000114,000010,MAT00000266,554.337,1953877.17,EUR,L,0003,0006
0000000114,000020,MAT00000113,26.102,1336.42,EUR,UN,0004,0006
0000000114,000030,MAT00000272,717.245,545780.41,EUR,UN,0003,0008
0000000114,000040,MAT00000086,273.4,814567.96,EUR,M,0003,0009
0000000115,000010,MAT00000214,265.577,28554.84,COP,KG,0001,0007
0000000115,000020,MAT00000294,426.075,931915.5,COP,KG,0001,0002
0000000115,000030,MAT00000210,295.129,982640.86,COP,L,0002,0008
0000000115,000040,MAT00000005,80.281,362048.04,COP,M,0003,0002
0000000116,000010,MAT00000188,66.805,15338.43,USD,L,0003,0002
0000000116,000020,MAT00000226,488.089,805117.45,USD,M,0004,0002
0000000116,000030,MAT00000079,238.351,445427.97,USD,UN,0004,0007
0000000117,000010,MAT00000082,394.324,102421.72,EUR,KG,0001,0002
0000000117,000020,MAT00000221,241.231,200178.31,EUR,L,0004,0003
0000000117,000030,MAT00000192,189.184,496929.61,EUR,UN,0002,0001
0000000117,000040,MAT00000232,61.753,194414.5,EUR,M,0002,0002
0000000118,000010,MAT00000286,554.02,1683339.91,EUR,KG,0001,0004
0000000118,000020,MAT00000128,662.486,2508436.99,EUR,KG,0002,0002
0000000118,000030,MAT00000218,306.485,1425719.18,EUR,M,0004,0005
0000000118,000040,MAT00000294,78.735,375109.29,EUR,KG,0004,0001
0000000119,000010,MAT00000282,791.184,857184.57,COP,L,0001,0008
0000000119,000020,MAT00000049,723.303,3168313.06,COP,L,0004,0001
0000000119,000030,MAT00000058,37.317,114685.59,COP,L,0004,0003
0000000120,000010,MAT00000152,63.977,28638.02,COP,UN,0001,0004
0000000120,000020,MAT00000294,483.025,564888.08,COP,KG,0002,0002
0000000120,000030,MAT00000032,370.235,183073.8,COP,M,0004,0009
0000000121,000010,MAT00000160,735.566,1583210.19,COP,KG,0001,0001
0000000122,000010,MAT00000197,263.779,1068109.75,USD,ST,0002,0007
0000000122,000020,MAT00000106,106.24,99555.38,USD,M,0002,0009
0000000122,000030,MAT00000074,634.136,821948.06,USD,ST,0003,0003
0000000122,000040,MAT00000294,930.079,497387.65,USD,KG,0003,0004
0000000123,000010,MAT00000153,96.404,376130.81,COP,KG,0002,0005
0000000123,000020,MAT00000016,601.507,946308.86,COP,M,0004,0001
0000000123,000030,MAT00000204,411.493,761360.81,COP,L,0003,0004
0000000123,000040,MAT00000064,880.859,988834.7,COP,KG,0001,0007
0000000123,000050,MAT00000123,441.817,653606.4,COP,L,0001,0005
0000000124,000010,MAT00000083,508.431,336749.1,EUR,L,0001,0005
0000000124,000020,MAT00000103,234.408,12064.98,EUR,KG,0001,0007
0000000125,000010,MAT00000119,60.7,96893.59,EUR,L,0003,0008
0000000125,000020,MAT00000278,140.325,330267.52,EUR,M,0002,0005
0000000126,000010,MAT00000238,703.065,3002593.76,COP,M,0003,0007
0000000126,000020,MAT00000162,146.962,318810.55,COP,M,0003,0009
0000000126,000030,MAT00000265,243.208,1021403.07,COP,ST,0001,0002
0000000127,000010,MAT00000227,926.41,2166845.2,USD,ST,0004,0007
0000000127,000020,MAT00000008,429.097,794374.4,USD,M,0002,0008
0000000127,000030,MAT00000252,160.841,257326.3,USD,KG,0003,0005
0000000127,000040,MAT00000061,834.144,1464131.26,USD,UN,0004,0007
0000000128,000010,MAT00000270,780.988,179916.21,COP,ST,0003,0009
0000000129,000010,MAT00000295,254.717,812040.34,EUR,M,0003,0002
0000000129,000020,MAT00000151,780.336,1665244.83,EUR,M,0004,0004
