VBELN,ERDAT,KUNNR,VKORG,VTWEG,SPART,NETWR,WAERK,AUART
0000000182,20230710,0000000237,1000,10,02,402163.46,COP,RE
0000000183,20200723,0000000378,1000,20,02,513244.88,COP,RE
0000000184,20240716,0000000112,2000,30,02,361750.42,USD,RE
0000000185,20200526,0000000177,2000,30,01,889583.15,USD,CR
0000000186,20200714,0000000228,2000,20,03,410199.77,USD,ZOR
0000000187,20200903,0000000267,2000,10,03,90063.84,COP,ZOR
0000000188,20220322,0000000097,2000,10,05,418472.86,COP,OR
0000000189,20241204,0000000331,1000,20,02,683906.43,COP,CR
0000000190,20200813,0000000279,1000,20,04,593826.26,USD,CR
0000000191,20210811,0000000474,1000,10,04,530770.18,EUR,RE
0000000192,20200316,0000000232,1000,30,03,461083.34,USD,OR
0000000193,20210207,0000000388,1000,10,02,692412.35,USD,ZOR
0000000194,20200803,0000000092,1000,10,05,6148.7,COP,ZOR
0000000195,20240323,0000000060,1000,20,05,236178.15,COP,RE
0000000196,20231105,0000000260,1000,10,01,865843.38,COP,RE
0000000197,20200604,0000000053,1000,30,05,889808.26,COP,RE
0000000198,20200410,0000000199,2000,20,05,787890.53,COP,RE
0000000199,20220321,0000000427,1000,30,03,867209.75,COP,ZOR
0000000200,20210909,0000000346,2000,10,05,392674.2,USD,OR
0000000201,20240711,0000000045,2000,30,03,262463.31,EUR,ZOR
0000000202,20220911,0000000129,2000,10,02,296984.77,EUR,RE
0000000203,20230915,0000000311,2000,20,02,569289.6,USD,ZOR
0000000204,20200406,0000000230,2000,30,03,82879.85,USD,RE
0000000205,20231022,0000000286,2000,10,01,348607.46,EUR,RE
0000000206,20200417,0000000388,2000,10,03,297232.98,EUR,CR
0000000207,20220627,0000000270,2000,10,01,277095.61,USD,CR
0000000208,20220810,0000000399,2000,30,05,513309.24,EUR,ZOR
0000000209,20230210,0000000482,2000,10,02,640115.42,EUR,OR
0000000210,20210211,0000000164,1000,30,03,90257.12,COP,OR
0000000211,20220809,0000000134,1000,20,02,420729.51,EUR,RE
0000000212,20201221,0000000468,1000,20,04,666066.67,COP,RE
0000000213,20231122,0000000295,1000,10,01,576489.96,USD,CR
0000000214,20220206,0000000202,1000,30,05,148403.28,USD,ZOR
0000000215,20201118,0000000396,2000,30,04,92250.71,EUR,CR
0000000216,20240103,0000000212,1000,10,05,563870.15,COP,ZOR
0000000217,20200923,0000000332,1000,30,04,715920.85,COP,OR
0000000218,20221226,0000000302,1000,20,03,644746.63,COP,ZOR
0000000219,20240217,0000000342,1000,10,05,21528.43,USD,CR
0000000220,20230213,0000000463,1000,20,05,271443.64,COP,OR
0000000221,20200208,0000000263,2000,20,02,805807.27,USD,CR
0000000222,20210822,0000000428,2000,10,02,353845.32,USD,OR
0000000223,20220830,0000000425,1000,10,04,997304.53,COP,CR
0000000224,20201031,0000000438,2000,10,02,656238.12,USD,RE
0000000225,20240921,0000000397,2000,20,05,876910.54,USD,RE
0000000226,20240308,0000000439,1000,30,03,165291.94,COP,CR
0000000227,20200625,0000000497,1000,20,02,408877.16,COP,CR
0000000228,20211125,0000000245,2000,30,02,768048.79,EUR,CR
0000000229,20220821,0000000076,1000,20,01,817992.52,EUR,CR
0000000230,20221023,0000000374,2000,30,01,263522.42,EUR,CR
0000000231,20221112,0000000350,1000,20,05,525182.71,USD,OR
0000000232,20231121,0000000152,1000,30,03,289012.16,COP,RE
0000000233,20220826,0000000036,2000,20,02,404594.46,USD,CR
0000000234,20240912,0000000090,1000,20,04,428336.6,USD,RE
0000000235,20241016,0000000173,1000,20,04,912218.01,EUR,OR
0000000236,20200513,0000000138,1000,10,05,924754.53,USD,OR
0000000237,20201120,0000000053,1000,10,03,998623.98,COP,ZOR
0000000238,20211031,0000000341,2000,20,03,544112.62,COP,ZOR
0000000239,20220520,0000000256,1000,30,01,493107.48,COP,RE
0000000240,20200617,0000000263,2000,30,04,745449.99,EUR,CR
0000000241,20220213,0000000343,2000,10,04,656061.06,EUR,OR
0000000242,20210906,0000000439,1000,30,04,699664.31,EUR,CR
0000000243,20200809,0000000491,1000,30,05,230461.39,USD,RE
0000000244,20230924,0000000341,2000,10,01,297437.76,COP,RE
0000000245,20230718,0000000029,1000,30,04,36789.25,COP,CR
0000000246,20240514,0000000336,2000,10,04,232985.82,USD,CR
0000000247,20200618,0000000166,2000,20,05,510976.12,USD,OR
0000000248,20210821,0000000421,1000,30,03,554286.47,EUR,OR
0000000249,20230116,0000000364,2000,10,02,979957.97,USD,ZOR
0000000250,20220625,0000000268,2000,10,02,864554.67,COP,ZOR
0000000251,20240416,0000000418,1000,20,01,112584.79,COP,CR
0000000252,20230717,0000000029,2000,30,01,778168.11,EUR,OR
0000000253,20231228,0000000373,1000,20,05,441327.09,USD,RE
0000000254,20240903,0000000480,2000,20,01,773976.65,USD,CR
0000000255,20240621,0000000153,1000,10,03,33498.38,COP,ZOR
0000000256,20241211,0000000005,1000,10,05,654105.05,USD,ZOR
0000000257,20231112,0000000205,1000,10,01,122054.67,EUR,ZOR
0000000258,20240608,0000000197,2000,10,05,40611.14,COP,RE
0000000259,20201130,0000000126,1000,20,04,223777.23,USD,RE
0000000260,20220401,0000000159,2000,10,03,774415.9,EUR,CR
0000000261,20230427,0000000349,2000,10,03,847455.75,COP,OR
0000000262,20200201,0000000086,1000,10,05,643133.96,USD,OR
0000000263,20200223,0000000242,2000,20,02,343974.04,COP,OR
0000000264,20220118,0000000216,1000,30,05,781479.89,COP,CR
0000000265,20200322,0000000064,2000,20,04,306379.78,COP,CR
0000000266,20241216,0000000217,1000,10,03,700220.82,EUR,RE
0000000267,20231023,0000000336,2000,20,01,426631.01,EUR,OR
0000000268,20220512,0000000494,1000,20,03,375899.29,COP,CR
0000000269,20221231,0000000434,1000,20,01,941199.93,USD,ZOR
0000000270,20200625,0000000326,2000,20,04,14367.61,USD,ZOR
0000000271,20241028,0000000049,2000,10,02,458116.31,EUR,ZOR
0000000272,20200730,0000000327,1000,30,04,699603.66,COP,ZOR
0000000273,20240409,0000000447,1000,30,03,329674.22,COP,ZOR
0000000274,20220510,0000000015,1000,20,01,660817.71,EUR,RE
0000000275,20240811,0000000294,2000,10,03,693487.51,USD,OR
0000000276,20241120,0000000185,1000,20,01,613340.38,COP,ZOR
0000000277,20240831,0000000363,2000,20,05,828607.49,EUR,RE
0000000278,20230827,0000000338,2000,20,01,549462.04,COP,RE
0000000279,20230220,0000000311,1000,30,05,140548.57,COP,RE
0000000280,20240620,0000000157,2000,10,01,504913.42,EUR,CR
0000000281,20220906,0000000071,2000,10,05,910893.23,COP,OR
0000000282,20230222,0000000489,2000,10,03,817108.03,COP,ZOR
0000000283,20201231,0000000411,2000,10,05,545781.34,USD,RE
0000000284,20230427,0000000113,2000,20,03,593447.11,EUR,CR
0000000285,20200125,0000000230,2000,20,03,361719.01,EUR,OR
0000000286,20201115,0000000124,2000,10,05,121182.64,COP,RE
0000000287,20220920,0000000439,2000,10,05,144635.62,USD,OR
0000000288,20230219,0000000082,2000,20,05,992998.59,USD,CR
0000000289,20221210,0000000450,1000,20,05,554576.74,COP,ZOR
0000000290,20240911,0000000183,1000,30,02,109415.53,USD,OR
0000000291,20230405,0000000426,1000,10,05,377036.83,EUR,OR
0000000292,20210626,0000000184,2000,10,02,384928.14,COP,CR
0000000293,20201103,0000000269,2000,30,05,287859.51,EUR,ZOR
0000000294,20200804,0000000421,2000,20,04,361364.74,EUR,CR
0000000295,20210402,0000000459,2000,30,05,30223.64,COP,CR
0000000296,20210909,0000000161,1000,10,03,178427.07,USD,ZOR
0000000297,20221215,0000000380,2000,30,01,809730.37,COP,ZOR
0000000298,20200219,0000000389,1000,10,01,245770.9,EUR,OR
0000000299,20241022,0000000338,2000,20,01,464064.54,COP,CR
0000000300,20210330,0000000066,2000,30,03,797925.74,EUR,CR
0000000301,20241203,0000000399,1000,20,01,717802.09,COP,OR
0000000302,20230529,0000000259,2000,30,03,645563.86,EUR,OR
0000000303,20240709,0000000259,1000,20,04,629243.3,USD,OR
0000000304,20240915,0000000439,2000,10,01,555836.96,COP,OR
0000000305,20221118,0000000286,2000,10,01,484733.65,COP,OR
0000000306,20220404,0000000002,2000,30,04,422640.94,EUR,RE
0000000307,20240518,0000000129,2000,30,03,609993.4,COP,CR
0000000308,20210131,0000000102,1000,10,01,408207.22,COP,RE
0000000309,20231219,0000000284,1000,20,02,875782.74,USD,OR
0000000310,20211118,0000000429,2000,20,05,211823.2,COP,CR
0000000311,20240302,0000000470,2000,30,02,891812.34,USD,OR
0000000312,20241117,0000000027,2000,10,02,286520.63,EUR,ZOR
0000000313,20211223,0000000022,1000,30,03,348207.53,COP,CR
0000000314,20240718,0000000120,2000,10,05,180064.95,EUR,CR
0000000315,20240512,0000000291,1000,20,02,426173.44,USD,RE
0000000316,20200620,0000000188,2000,10,05,927445.46,EUR,OR
0000000317,20241217,0000000364,1000,30,05,451826.96,COP,OR
0000000318,20200518,0000000442,1000,20,01,216460.0,EUR,OR
0000000319,20210302,0000000080,1000,30,05,714420.48,EUR,RE
0000000320,20231019,0000000330,2000,20,01,929863.35,COP,OR
0000000321,20220814,0000000216,1000,20,05,419252.64,COP,CR
0000000322,20231130,0000000207,2000,20,02,761978.68,USD,ZOR
0000000323,20221008,0000000251,1000,10,03,674919.43,EUR,OR
0000000324,20240114,0000000121,1000,10,02,547402.66,EUR,RE
0000000325,20200827,0000000046,2000,30,01,347496.09,COP,OR
0000000326,20200603,0000000450,1000,30,02,377433.79,COP,RE
0000000327,20240512,0000000231,2000,30,05,891242.35,USD,CR
0000000328,20220402,0000000362,2000,20,04,716076.28,USD,ZOR
0000000329,20220113,0000000232,2000,30,01,569027.35,COP,RE
0000000330,20200918,0000000173,2000,30,02,633991.82,EUR,ZOR
0000000331,20230102,0000000187,1000,10,03,306675.4,EUR,RE
0000000332,20220711,0000000354,2000,30,01,686812.07,USD,RE
0000000333,20210317,0000000132,1000,20,03,654467.79,COP,ZOR
0000000334,20230901,0000000117,1000,20,01,170423.1,USD,RE
0000000335,20240505,0000000288,1000,20,04,594273.25,EUR,CR
0000000336,20231002,0000000421,1000,10,03,163459.42,COP,CR
0000000337,20220319,0000000443,1000,10,01,684493.38,EUR,CR
0000000338,20240908,0000000222,1000,10,02,823428.94,USD,CR
0000000339,20241119,0000000369,2000,10,03,991967.89,EUR,ZOR
0000000340,20230131,0000000426,2000,20,05,896046.97,EUR,CR
0000000341,20201120,0000000042,2000,30,04,557133.71,COP,OR
0000000342,20230213,0000000363,2000,20,01,669598.12,COP,ZOR
0000000343,20240510,0000000343,1000,20,04,423298.65,COP,ZOR
0000000344,20221102,0000000417,1000,20,05,664214.13,EUR,ZOR
0000000345,20201219,0000000375,2000,10,04,696302.43,USD,ZOR
0000000346,20200325,0000000042,1000,10,03,435424.06,USD,OR
0000000347,20230717,0000000062,1000,10,05,267905.01,USD,RE
0000000348,20220723,0000000360,1000,30,02,833528.66,EUR,ZOR
0000000349,20241208,0000000076,2000,10,01,796693.15,USD,CR
0000000350,20220301,0000000299,2000,20,05,264698.47,COP,RE
0000000351,20230613,0000000055,1000,10,03,320395.68,EUR,CR
0000000352,20230905,0000000409,1000,20,02,739255.16,USD,OR
0000000353,20231011,0000000472,1000,10,02,504551.43,USD,RE
0000000354,20200115,0000000465,1000,10,01,734188.04,EUR,ZOR
0000000355,20220913,0000000116,2000,30,03,664806.18,EUR,CR
0000000356,20200908,0000000452,2000,20,04,156960.8,COP,CR
0000000357,20220221,0000000148,1000,10,04,971953.22,USD,RE
0000000358,20210205,0000000492,2000,20,03,455098.0,USD,OR
0000000359,20221229,0000000463,1000,30,05,756417.67,COP,CR
0000000360,20201113,0000000165,2000,20,01,392030.7,EUR,OR
0000000361,20241008,0000000255,2000,10,01,306212.67,COP,ZOR
0000000362,20201212,0000000255,1000,30,02,397445.03,USD,CR
0000000363,20211222,0000000360,2000,20,01,741719.06,COP,RE
0000000364,20201013,0000000417,2000,10,02,683372.54,USD,RE
0000000365,20210927,0000000469,1000,20,03,472474.71,EUR,ZOR
0000000366,20200831,0000000164,1000,20,01,490446.89,EUR,CR
0000000367,20230305,0000000366,1000,20,05,911425.83,COP,CR
0000000368,20240112,0000000283,2000,20,05,112582.72,EUR,CR
0000000369,20220329,0000000491,2000,30,01,283688.44,USD,RE
0000000370,20200204,0000000439,1000,10,02,123923.86,USD,ZOR
0000000371,20240411,0000000131,1000,20,03,128676.46,EUR,RE
0000000372,20221101,0000000289,1000,20,05,380311.24,USD,RE
0000000373,20241229,0000000348,1000,20,02,459051.74,COP,ZOR
0000000374,20210612,0000000059,2000,30,05,200714.57,EUR,RE
0000000375,20201209,0000000137,1000,30,03,933122.66,USD,ZOR
0000000376,20200124,0000000199,1000,20,04,13557.46,EUR,CR
0000000377,20220327,0000000065,2000,10,05,998926.95,EUR,OR
0000000378,20240823,0000000111,1000,10,05,183111.42,COP,OR
0000000379,20221202,0000000165,1000,30,05,840382.84,USD,CR
0000000380,20200220,0000000423,1000,30,04,677797.76,COP,ZOR
0000000381,20230114,0000000086,2000,20,01,800432.32,USD,CR
0000000382,20210420,0000000371,1000,20,03,241033.22,USD,OR
0000000383,20230531,0000000228,2000,30,05,43375.4,USD,ZOR
0000000384,20240722,0000000439,2000,10,05,723331.75,EUR,OR
0000000385,20201123,0000000412,1000,10,04,583540.41,EUR,RE
0000000386,20220622,0000000056,2000,30,02,10752.41,EUR,OR
0000000387,20200227,0000000323,2000,20,03,251862.06,USD,CR
0000000388,20230128,0000000297,2000,20,05,149140.35,EUR,CR
0000000389,20211011,0000000464,1000,30,02,996797.61,COP,OR
0000000390,20231006,0000000317,1000,30,02,906548.35,COP,RE
0000000391,20231217,0000000252,1000,30,02,940520.4,COP,OR
0000000392,20231208,0000000211,1000,30,04,702890.61,COP,CR
0000000393,20230422,0000000148,2000,10,01,972471.49,COP,OR
0000000394,20200430,0000000446,2000,30,01,406719.67,COP,OR
0000000395,20210526,0000000220,1000,30,05,686674.84,EUR,RE
0000000396,20220906,0000000403,1000,10,03,543881.01,EUR,CR
0000000397,20220825,0000000056,2000,20,02,644322.79,EUR,OR
0000000398,20241011,0000000361,1000,10,04,899622.74,USD,ZOR
0000000399,20240608,0000000105,1000,30,04,720059.18,COP,CR
0000000400,20220608,0000000197,1000,30,01,577547.05,COP,CR
0000000401,20210731,0000000035,1000,30,02,720048.5,EUR,ZOR
0000000402,20230906,0000000227,2000,30,04,485807.91,USD,ZOR
0000000403,20231030,0000000274,1000,10,01,842407.72,USD,CR
0000000404,20230909,0000000346,1000,10,01,593014.63,USD,ZOR
0000000405,20241003,0000000229,2000,30,05,177045.64,COP,OR
0000000406,20230805,0000000422,1000,20,04,467558.94,COP,CR
0000000407,20231023,0000000443,1000,30,05,18949.36,USD,CR
0000000408,20210402,0000000376,2000,30,02,467969.95,COP,ZOR
0000000409,20221122,0000000293,2000,30,01,615133.62,EUR,ZOR
0000000410,20220108,0000000408,1000,20,03,662446.68,EUR,CR
0000000411,20200928,0000000066,1000,20,05,945935.8,USD,OR
0000000412,20220419,0000000141,1000,30,05,596630.54,COP,RE
0000000413,20201130,0000000128,2000,30,05,766053.86,COP,ZOR
0000000414,20241124,0000000070,1000,10,04,715656.55,USD,RE
0000000415,20241221,0000000055,2000,10,04,263098.51,USD,OR
0000000416,20210512,0000000344,2000,10,04,393299.13,USD,RE
0000000417,20220616,0000000319,2000,30,04,909003.65,EUR,ZOR
0000000418,20210321,0000000124,2000,10,03,383169.61,EUR,ZOR
0000000419,20231210,0000000428,1000,20,02,448454.8,USD,RE
0000000420,20200318,0000000320,2000,10,02,37424.07,USD,RE
0000000421,20220416,0000000312,1000,30,05,641178.27,COP,OR
0000000422,20240731,0000000422,1000,30,05,962999.63,EUR,RE
0000000423,20240118,0000000325,2000,30,04,900584.59,COP,RE
0000000424,20210323,0000000446,1000,30,05,773499.89,COP,OR
